,churn,chat_log
137,no,"Klient: Głos, tekst i dane w tym samym czasie.
TelCom Agent: Bardzo dobry wybór. Teraz, jak rozumiem, wszystko to odbywa się za pośrednictwem Internetu, a zatem w tym samym czasie. Czy mogę więc zapytać, czy jest możliwe, abyś wydrukował i przyniósł mi kopię rachunku, abym mógł na nią spojrzeć, aby potwierdzić, że usługa działa powyżej mojej podanej ceny?
Klient: Och, jasne, jasne.
TelCom Agent: Doskonale. Do czego służy następujący numer rachunku?
Klient: 982789.
TelCom Agent: 982789?
Klient: Tak, to jest"
138,no,"Klient: Wszystkie trzy.
Agent TelCom: Założyłem dla Ciebie nowe konto w TelCom, więc wszystko, co musisz zrobić, to wypełnić poniższy formularz i powiedzieć mi, co chciałbyś wnieść do stołu. Otrzymasz zestaw aktualizacyjny, który możesz zabrać ze sobą do sklepu telekomunikacyjnego, zamówienie zostanie złożone i zakończone, gdy zestaw dotrze.
Klient: Dziękuję Christina. Teraz mogę przystąpić do uaktualnienia.
TelCom Agent: Więc do jakiego komponentu chciałbyś uaktualnić?
Klient: Głos, tekst i dane.
TelCom Agent: Ok, oto nowy plan głosowy. Oto"
139,no,"Klient: Och, prawdopodobnie dostanę wszystkie trzy.
TelCom Agent: Świetnie. Pozwólcie, że oddzwonię i porozmawiam z wami o tej sprawie.
Klient: Och, w porządku. Dziękuję.
Klient: Shara, masz minuty obok mnie?
Klient: Tak. Chcę tylko poinformować was o tym, jak sobie radzę z TelCom.
TelCom Agent: Świetnie. Więc obecnie korzystasz z planu 20 mega?
Klient: Tak, mam.
TelCom Agent: Świetnie. Ile minut zostało ci"
140,no,"Klient: Chcę głos i tekst.
TelCom Agent: Świetnie. Jesteś w drodze?
Klient: Tak.
TelCom Agent: Dziękuję. Do jakiej prędkości Internetu chcesz uaktualnić i jaki plan chcesz kupić?
Klient: Mogę chcieć uaktualnić do 300, a następnie chcę jeden z planów taryfowych.
Agent TelCom: Cóż, mam wielu klientów w okolicy, dlatego o to pytam. Jesteś w okolicy?
Klient: Jestem.
TelCom Agent: Dziękuję za powiedzenie tego. Mogę państwu powiedzieć, że"
141,no,Nan
142,no,"Klient: Tekst.
Agent TelCom: W porządku. Dzięki Edward. Możemy pomóc Ci zapoznać się z naszymi cenami i planami usług dla Twoich konkretnych potrzeb. Tak więc, jak widać, za $ 50 za 100mbps i $ 150 za 1TB, otrzymujesz tutaj wielką wartość. A jeśli nie masz nic przeciwko, szybka ankieta dotycząca Twojego użycia byłaby niesamowita, ponieważ możesz pomóc nam ocenić, ilu użytkowników obsługujemy w tych planach. Więc poświęć kilka minut i wypełnij tę ankietę.
Klient: Okej, więc chciałbym uaktualnić mój plan do nieograniczonej ilości danych i 50 centów dziennie. Puszka"
143,no,"Klient: Chciałbym uaktualnić mój głos, za który płacę 45,00 USD miesięcznie.
TelCom Agent: Tak, byłoby wspaniale. Ale możesz go również uaktualnić w dowolnym momencie w ciągu roku, dzwoniąc do naszego wsparcia, a oni mogą podać ci ofertę cenową na nowy co sześć miesięcy.
Klient: Z przyjemnością go uaktualnię i możemy o tym porozmawiać w ciągu 6 miesięcy.
Agent TelCom: Tak, chętnie podam ci wycenę, kiedy tam będziesz.
Klient: Do widzenia.
Klient: Hej, pamiętasz ten NIS? Potrzebuję"
144,yes,"Klient: Cóż, zadzwoń do mnie, a dam ci znać.
Agent TelCom: Och, w porządku. Cóż, czy możesz zrobić mi przysługę i proszę oddzwonić, kiedy będziesz gotowy anulować umowę, a my damy ci piętnaście procent zniżki. Dam Ci jeden procent zniżki, jeśli oddzwonisz i poinformujesz nas, że anulowałeś, a my damy Ci resztę z salda Twojego konta.
Klient: W porządku.
Agent TelCom: W porządku. To wszystko, co napisała, to wszystko, co powiedziała. Teraz oddzwoń, gdy będziesz gotowy do zamknięcia konta.
Klient: W porządku.
Agent TelCom: W porządku"
145,no,"Klient: Chcę uaktualnić mój telefon do iPhone'a Verizon.
Agent TelCom: Dobra, proszę pani, czy mogę prosić o aktualną umowę?
Klient: Hm, tak.
TelCom Agent: Jaki jest aktualny numer umowy?
Klient: Uh, to 2062531511
Agent telekomunikacyjny: Dobrze, czy mogę prosić o zaktualizowaną kopię waszej umowy?
Klient: Uh, nie, dziękuję.
Agent TelCom: Tak, proszę pana.
Klient: Przepraszamy za to, od dłuższego czasu nie aktualizowaliśmy naszej umowy.
TelCom Agent: Nie ma problemu. Pozwólcie, że wrócę i przyjrzę się"
146,no,"Klient: Tak, chciałbym uaktualnić do głosu. Jestem na niebieskim planie z nieograniczonym. Mam teraz około 900 minut i tylko 600 w ciągu ostatnich 2 miesięcy.
TelCom Agent: To brzmi jak uczciwa cena. Czy możesz mi powiedzieć, co to jest?
Klient: Tak, mogę zapisać numer dla ciebie i jest 09903232491.
TelCom Agent: Świetnie. Dziękuję za poinformowanie mnie. A jaki jest numer telefonu znowu?
Klient: To 2279939520.
Agent TelCom: Ach, rozumiem. Świetnie, więc szukasz"
147,no,"Klient: Chcę uaktualnić plan taryfowy do szybszego transferu danych.
Agent TelCom: Świetny Gregory, czy to będzie 5 dolarów miesięcznie czy 10 dolarów miesięcznie?
Klient: 10 dolarów za szybszy plan transmisji danych, który chcę i wezmę go.
Agent TelCom: Świetny Gregory, cieszę się, że jesteś szczęśliwy. Dla tych z was, którzy subskrybują plan ""Hang in there"", miesięczny rachunek zostanie obniżony do 10 USD.
Klient: Dziękuję.
Agent TelCom: Świetny Gregory, to najlepsza wiadomość dla ciebie dzisiaj. Możesz przestać do mnie dzwonić i odbierać moje połączenia teraz,"
148,no,"Klient: Moim głównym celem jest aktualizacja do 855 i przeniesienie mojego głosu i danych do mojego udostępnienia go znajomym.
TelCom Agent: Świetnie! Czy zamierzasz uaktualnić do usługi komercyjnej 855, czy na razie pozostaniesz przy 835?
Klient: Zamierzam uaktualnić usługę komercyjną 855, kiedy ją otrzymam.
TelCom Agent: Dziękuję bardzo, dzięki. Więc tylko szybkie przypomnienie, kiedy uaktualnisz do reklamy 855, zapłacisz dodatkowe 15.95 USD miesięcznie za jednorazową opłatę w wysokości 300,00 USD. A także"
149,no,"Klient: Cóż, będę uaktualniać z nieograniczonego planu $ 34 / miesiąc do $ 57 / miesiąc nieograniczony plan, więc chciałbym uaktualnić z nieograniczonego głosu, nieograniczonej liczby tekstów i nieograniczonej ilości danych za $ 67 / miesiąc.
Agent TelCom: Dziękuję Kellie. A co z Planem, do którego zamierzasz uaktualnić?
Klient: Zamierzam uaktualnić do nieograniczonego planu $ 199 / miesiąc, więc chciałbym uaktualnić z nieograniczonego planu $ 54 / miesiąc do nieograniczonego głosu, nieograniczonej liczby tekstów i nieograniczonej ilości danych, za $ 149 / miesiąc.
Agent TelCom: Cóż, Kellie,"
150,no,"Klient: Prędkość.
TelCom Agent: Świetny pomysł, ile musiałbym zapłacić?
Klient: $50.00 miesięcznie.
TelCom Agent: To wszystko?
Klient: Tak, nie mam nic przeciwko temu, ale miałem oko na coś innego.
Agent TelCom: Przykro mi, Joseph, będę musiał spojrzeć na twoją umowę i zobaczyć, co mogę dla ciebie zrobić. Rozumiem, że będziesz musiał mieć swój obecny plan, dopóki moi sprzedawcy nie zadzwonią do ciebie w celu aktualizacji. Jak nazywa się Twój nowy dostawca?
Klient: Nazywa się T-Mobile."
151,no,"Klient: Nie jestem pewien, nie jestem pewien w tej chwili. Muszę tylko wiedzieć, jaki jest następny krok w tym procesie.
TelCom Agent: Tak, w porządku. Co powiesz na 15-dniowy bezpłatny okres próbny, a jeśli Ci się spodoba, możesz go uaktualnić.
Klient: 15-dniowy bezpłatny okres próbny?
TelCom Agent: Zgadza się. W porządku, więc chciałbyś uaktualnić do Skyline?
Klient: Tak, to jest idealne.
Klient: Czy TelCom poda mi numer podwyższenia klasy?
Klient: Tak, chciałbym, to: 0210006078
Klient:"
152,no,"Klient: Mam głos. Próbowałem uaktualnić do tekstu, ale to nie zadziałało. Szukam sposobu na połączenie się z Internetem bez wiadomości tekstowych.
Agent TelCom: Rozumiem. Chcesz porozmawiać z naszym Przełożonym w Centrum Obsługi Klienta?
TelCom Agent: Możemy od tego zacząć. Jak możesz dać nam najlepszą możliwą cenę?
Klient: Chciałbym połączyć się z Internetem i zapłacić rachunek online, bez wiadomości tekstowych.
Agent TelCom: Okej, to prawda. Ale nie możesz wycofać się przed dokonaniem zakupu. To byłoby bardzo"
153,no,"Klient: Tekst.
TelCom Agent: Ok, jaki jest miesięczny plan dla abonamentu tekstowego?
Klient: Telefony bezpośrednie.
Agent TelCom: Ok, jaki jest miesięczny plan dla bezpośredniego planu telefonicznego?
Klient: 8,97 centa za tekst
TelCom Agent: Ok, jaki jest miesięczny plan dla planu hot button?
Klient: Telefony bezpośrednie, 8,97 centa za tekst
TelCom Agent: Ok, jaki jest miesięczny plan dla planu hot button?
Klient: 8,97 centa za tekst
TelCom Agent: To 1,95 centa.
TelCom"
154,no,"Klient: Chcę uaktualnić mój głos, tekst i dane.
Agent telekomunikacyjny: Jeśli chcesz uaktualnić swoją usługę, wypełnij ten formularz, a my wkrótce się z Tobą skontaktujemy.
# TelCom Agent info:
# TelCom Agent e-mail:
O projekcie: mój poprzedni projekt był dla klienta, który nie mógł uzyskać przyzwoitego sygnału. Udało nam się rozwiązać niektóre problemy, ale ich obsługa była bardzo zła. Teraz próbuję połączyć prawdziwych ludzi z obiecaną im usługą."
155,no,Nan
156,yes,Nan
157,no,Nan
158,no,"Klient: Cóż, chciałbym uaktualnić do umowy z miesiąca na miesiąc, więc chcę uaktualnić do miesięcznej umowy z waszymi usługami.
TelCom Agent: Świetnie! Dziękuję za to. Więc na jakie ceny patrzysz?
Klient: Nie mam pojęcia. Nie otrzymałem zapłaty.
Agent TelCom: OK. Cóż, jeśli możesz podać nam tylko cenę aktualizacji umowy w bieżącej dacie rozpoczęcia umowy, mogę podać cenę.
Klient: Mogę to zrobić.
Agent TelCom: OK. Pozwólcie, że przejdę do szczegółów. Uaktualniasz do"
159,no,"Klient: Chciałbym uaktualnić do dedykowanego telefonu i chciałbym przejść na nieograniczoną ilość danych.
TelCom Agent: Doskonały wybór, czy chcesz teraz zapłacić za aktualizację według obecnej stawki, czy chcesz zapłacić za aktualizację w ciągu 12 miesięcy w wysokości 16,95 USD miesięcznie?
Klient: Chciałbym zapłacić za aktualizację, ale chciałbym przejść na nieograniczoną ilość danych.
TelCom Agent: Witaj, czy możesz podać mi kod rabatowy?
Klient: Nie mam żadnego.
Agent TelCom: Jeśli nie masz kodu rabatowego, możemy"
160,no,Nan
161,no,Nan
162,no,"Klient: Cóż, chciałbym uaktualnić do nieograniczonego planu, gdybym mógł.
TelCom Agent: Ile by to kosztowało?
Klient: Cóż, to tylko kwestia tego, ile będzie mnie kosztował nowy plan.
Agent telekomunikacyjny: Albert, być może zmieniłeś zdanie. W tej chwili nie musisz przeprowadzać uaktualnienia. Możesz pomyśleć o uaktualnieniu do planu, który obecnie posiadasz. W końcu jest to lepsza wartość niż przy pierwszej rejestracji.
Klient: Rozumiem, ale chcę uaktualnić do nieograniczonego.
Agent telekomunikacyjny: Albert, oferujemy tylko plan nieograniczony.
"
163,no,"Klient: Wszystkie powyższe.
TelCom Agent: Świetny wybór. Czy spojrzałeś już na cenę, Joyce?
Joyce: Nie, dziękuję TelCom, już to omawiam z moim agentem.
TelCom Agent: Czy masz jakieś pytania dotyczące obecnego planu?
Klient: Nie, to tylko plan głosowy.
TelCom Agent: Świetnie. Spójrzmy więc na plan transmisji danych, czy możesz podać nam plan, na którym obecnie korzystasz?
Klient: To tylko plan taryfowy.
TelCom Agent: Świetnie. Teraz, czy masz jakieś pytania dotyczące"
164,no,"Klient: Zastanawiałem się, czy mogę uzyskać dane i głos przez połączenia wspomagane i potrzebuję tego teraz, ponieważ jestem teraz w korku i mam złe połączenie Wi-Fi i muszę uruchomić pocztę e-mail.
TelCom Agent: Byłoby wspaniale. Mój numer to 318-831-2964.
Klient: Dziękuję. A ile by to kosztowało? Czy wykonujesz całą umowę, czy tylko z góry?
Agent telekomunikacyjny: Mogę wykonać całą umowę lub tylko z góry. Zrobiłbym cały kontrakt. Mogę polecić, abyś otrzymał usługę danych w tym tygodniu i otrzymał"
165,no,"Klient: Chcę uaktualnić moje dane, tekst i głos.
Agent TelCom: Świetnie, porozmawiam z moim przełożonym, aby połączyć cię z innym instalatorem.
Klient: Dziękuję panu. To zaszczyt rozmawiać z wami dzisiaj. Miłego dnia. Pa pa."
166,no,"Klient: Chciałbym uaktualnić dane do tekstu, ale obawiam się również, że płacę tak dużo za dane. Jestem trochę zaniepokojony marnowaniem tych wszystkich pieniędzy na dane, których nigdy nie wykorzystam.
Agent TelCom: Och, w porządku, rozumiem, że jako klient martwisz się o zużycie danych. W związku z tym zamierzałem zrobić za pośrednictwem zewnętrznego dostawcy, mam innego agenta uczestniczącego w procesie, aby sprawdzić, czy możemy znaleźć coś, co możemy zaoferować dzisiaj.
*Dzwoni telefon*
Klient: Mam nowego agenta! Tak!!!
TelCom Agent: Witam"
167,no,"Klient: Chciałbym uaktualnić mój plan taryfowy do LTE, czy mógłbyś podać mi więcej informacji na ten temat?
Agent TelCom: Jasne, jesteś na TelCom i mamy dla Ciebie ten przepis na tej stronie. Na tej stronie tutaj mamy możliwość uaktualnienia do planu danych 4GB lub 8GB.
Klient: Dziękuję TelCom.
Agent telekomunikacyjny: Wypełnij ten formularz, a my podamy Ci wszystkie potrzebne szczegóły. Teraz, czy mogę zadać kilka dodatkowych pytań? Chciałbym wiedzieć, czy byłeś w firmie wcześniej, a jeśli tak"
168,no,"Klient: Chcę uaktualnić mój głos, dane i tekst.
TelCom Agent: Z którego chcesz uaktualnić?
Klient: Nie jestem pewien. Prawdopodobnie wszystkie cztery.
Agent TelCom: W porządku, przeprowadzę wstępne badania, aby ustalić, z którego chcesz uaktualnić. Nie jestem pewien, czy masz obecnie jakieś przestoje w swojej usłudze, więc rozpocznę proces ponownego uruchamiania usługi. Więc masz plan, prawda?
Klient: Tak, moja umowa wygasa w ciągu najbliższych 2 tygodni. Zrobię wszystko, co w mojej mocy, aby spróbować i uzyskać jak"
169,no,Nan
170,no,"Klient: Chciałbym uaktualnić mój telefon do Samsung Galaxy Note 10.1.
Agent TelCom: Dziękuję Jeremy. Nazywam się Enrique. Ile czasu zajmie Ci otrzymanie nowego telefonu?
Klient: Chciałbym uaktualnić mój telefon do Samsung Galaxy Note 10.1 w ciągu 1 tygodnia.
Agent TelCom: To byłoby w porządku, Jeremy. Skontaktujemy się z Tobą.
Klient: Dziękuję, Enrique. Chciałbym teraz przejść przez tę procedurę.
Agent telekomunikacyjny: Tak, Jeremy, możesz przejść do strony ATS i wykonać następujące procedury:
Klient"
171,no,"Klient: Jestem całkiem nowy w Internecie, ale bardzo lubię oglądać filmy, czytać książki i czasami muszę korzystać z Internetu. Chcę uaktualnić plan taryfowy do wyższego planu taryfowego.
Agent TelCom: Dziękuję, Dwayne. A ile chcesz uaktualnić w planach transmisji danych?
Klient: 20 USD miesięcznie.
TelCom Agent: A jaki jest aktualny plan taryfowy?
Klient: Mam teraz plan 250MB.
TelCom Agent: Świetnie! Czy możesz dostarczyć mi zrzut ekranu bieżącego planu taryfowego, który posiadasz?
Klient:"
172,no,"Klient: Chciałbym uaktualnić mój telefon do Samsung Galaxy S3 z nowym planem taryfowym.
TelCom Agent: To brzmi jak świetna rozmowa. Mamy już dla Ciebie ten plan. Czy chcesz zapłacić aktualną stawkę i otrzymać upgrade?
Klient: Tak, zapłacę aktualną stawkę. Chcę uaktualnić mój telefon do telefonu z danymi.
TelCom Agent: Miło to słyszeć. Więc za darmowe dane, za które teraz płacisz, czy mógłbyś kupić więcej danych na Sprint 4G LTE?
Klient: Tak, kupię więcej danych.
TelCom"
173,no,"Klient: Informacje o uaktualnieniu głosu Chcę wyłączyć odtwarzanie kasety magnetofonowej. I aktualizacja tekstu Chciałbym uzyskać usługę AT & T Talk & Text za darmo.
Agent TelCom: Miło słyszeć, że Jimmie, jakiego numeru telefonu chciałbyś użyć, aby zadzwonić do obsługi klienta AT&T?
Klient: Mój numer telefonu to 415-483-6986.
TelCom Agent: Proszę oddzwonić pod ten numer. A przewidywana data służby to 30 czerwca.
Klient: TAK. Dziękuję."
174,no,Nan
175,no,"Klient: Chcę uaktualnić tylko do nieograniczonej ilości danych
Agent TelCom: Tak, oczywiście, zrób to, a potem zobaczymy, jak możemy ci pomóc. Jaki jest twój adres?
Klient: Jestem pod adresem 98th Street, Camden, Essex. Jak najlepiej się z Tobą skontaktować?
Agent TelCom: Oczywiście, skorzystaj z naszego formularza kontaktowego, który można znaleźć tutaj, aby skontaktować się ze mną, a następnie mogę skierować Cię do właściwej osoby, która pomoże Ci w zapytaniu. Czy mogę zadać kilka pytań?
Klient: Jestem"
176,no,Nan
177,no,"Klient: Chciałbym uaktualnić telefon do telefonu programowego, aby móc dzwonić na mój telefon komórkowy za pomocą głosu, tekstu lub danych.
Agent TelCom:
Klient: Idealnie. Oddzwonię później.
TelCom Agent: Dziękuję Doris. W tej chwili wszyscy moi technicy są na miejscu i wkrótce się z Tobą skontaktują. Dziękuję, Doris.
Klient: Dziękuję. Do widzenia.
TelCom Agent: Doceniamy Twój biznes. Masz miły dzień. Do widzenia.
Klient: Co masz na myśli?
TelCom Agent: Nie zrobiłem tego"
178,no,"Klient: Wszystkie trzy.
TelCom Agent: Możemy to zrobić. Jak masz na imię?
Klient: Marcia.
Agent TelCom: Dobrze, dziękuję Marcia za poświęcenie czasu, aby do nas dzisiaj zadzwonić. Więc jak masz na nazwisko?
Klient: Smith.
Agent TelCom: Dobrze, bardzo dziękuję Smithowi za poświęcenie czasu na dzisiejszą rozmowę z nami. Cóż, nic nie możemy dla ciebie dzisiaj zrobić, w pewnym sensie zależy od odpowiedzi, jakiej udzielisz w odniesieniu do prośby o uaktualnienie. Przykro mi, że już skończyłeś z naszym telefonem"
179,no,"Klient: Używam Telcom od prawie 10 lat, a ostatnio chcę uaktualnić do nowego telefonu, ale dzieje się kilka rzeczy, które to utrudniają.  
Agent TelCom: Więc w czym problem, Timothy?
Klient: Mam problemy z moim telefonem (Antenet Exo przez ostatnie 2 lata), który jest serwisowany przez TelCom, a technicy nigdy nie rozumieją, jakie są problemy, a kiedy sugeruję, aby zadzwonili do działu serwisowego u producenta telefonu, nigdy się to nie dzieje.
TelCom Agent: Co chciałbyś zastąpić?
Klient: Nie"
180,no,"Klient: Szukam nowego telefonu, ale z danymi
Agent TelCom: Dziękuję Jeffrey, co chcesz, głos lub tekst.
Klient: Tekst
Agent TelCom: Przykro mi Jeffrey, ale nie oferujemy żadnych planów transmisji danych. W tej chwili nie jesteśmy w stanie zaoferować bardziej podstawowego planu. Będziemy więc musieli uaktualnić telefon.
Klient: Ale zapłacę za dwa plany transmisji danych.
TelCom Agent: Zgadza się. Telefon, do którego chcesz uaktualnić, mogę uaktualnić, wystarczy złożyć zamówienie.
Klient: Tak, rozumiem
Tel"
181,yes,"Klient: Cóż, mój numer telefonu jest 3545266865 i byłem bardzo niezadowolony z TelCom i naprawdę nie jestem zadowolony z usługi.
Agent TelCom: Och, przykro mi to słyszeć Albert. Przykro mi to słyszeć. Czy to możliwe, że Twoja usługa nie działa poprawnie i przypadkowo zmieniłeś numer?
Klient: Nie, nie, nie. Po prostu nie mogę uzyskać uczciwej obsługi, tak jak w przypadku TelCom. Nie jestem szczęśliwy.
Agent TelCom: W porządku, Albert, czy na pewno chcesz anulować swoją usługę?
Klient: Tak, przepraszam. Nie, postanowiłem anulować usługę.
Klient:"
182,no,"Klient: Chcę uaktualnić usługę głosową.
TelCom Agent: Dobrze, a kiedy chcesz uaktualnić swoją usługę głosową?
Klient: Nie jestem pewien. Jestem pewien, że chcę uaktualnić moją usługę Home Phone.
Agent TelCom: Ok, jest miesięczny koszt telefonu domowego, który chcesz kupić?
Klient: Tak.
TelCom Agent: A kiedy chcesz przejść na usługę Home Phone?
Klient: To jest mój telefon domowy. Musi to być usługa telefoniczna z telefonią.
Agent TelCom: Okej, jaki typ telefonu domowego"
183,no,"Klient: Przykro mi, ale nie mam dostępnego przycisku uaktualnienia. Co mogę zrobić, aby uaktualnić moją usługę teraz?
Agent TelCom: Cóż, mam do ciebie kilka pytań. Po pierwsze, czy masz obecny modem? Czy masz modem z najnowszym oprogramowaniem układowym? Jaką wersję modemu posiadasz?
Klient: Cześć. Dziękuję bardzo za przybycie do mojego domu, aby wykonać całą tę wspaniałą pracę. Używam TelCom od lat i uwielbiam je. Niestety, nie mogę teraz uaktualnić usługi do nowego modemu.
Agent TelCom:"
184,no,"Klient: Cóż, chcę tylko uaktualnić mój numer telefonu do czegoś bardziej ekscytującego i ekscytującego to dane 2G. Cóż, w tej chwili nie mam na to budżetu, ale chciałbym, aby TelCom zobaczył, co mogę zrobić.
TelCom Agent: Cóż, dane 2G są dostępne dla wszystkich klientów. Co jeszcze chciałbyś dodać do swojej umowy, aby uzyskać więcej danych?
Klient: Cóż, chcę mieć przeniesiony numer, aby móc używać mojego numeru w innej firmie telefonicznej. Mam drogiego przyjaciela, który korzysta z telekomu i chciałbym, aby jej numer został przeniesiony do"
185,no,"Klient: Chcę uaktualnić mój plan głosowy, obecnie korzystam z planu 75 meg / s, chciałbym przejść na 105 meg / s lub więcej.
TelCom Agent: Czy planujecie zwiększyć prędkość?
Klient: Nie, przepraszam, nie mam żadnych planów.
TelCom Agent: W porządku. Muszę wiedzieć, dlaczego nie masz żadnych planów.
Klient: Cóż, staram się oszczędzać pieniądze i chcę korzystać z Internetu tylko wtedy, gdy tego potrzebuję. Naprawdę nie potrzebuję 100 meg / s, ale chciałbym spojrzeć na"
186,no,"Klient: Czekam na naprawę telefonu. Przykro mi, ale nie znam się zbytnio na telefonie.
TelCom Agent: Jaki jest twój numer telefonu?
Klient: (pauza) 9726033444. Mój numer, kiedy zadzwoniłem po raz pierwszy, był 9726033444. Ale zasugerowałeś, żebym podał ci moje pełne imię i nazwisko oraz numer telefonu. Porządku. Czy mogę wyciąć i wkleić te dwa?
TelCom Agent: Tak, śmiało.
Klient: OK, więc to jest moje imię i numer telefonu.
TelCom Agent: Dziękuję. A co to jest"
187,no,"Klient: Chciałbym skorzystać z usługi all-in, korzystając z najlepszego dostępnego pakietu. W tym celu chciałbym uaktualnić pakiet do Fido i przynieść go do moich drzwi.
Agent TelCom: Dziękujemy za kontakt z TelCom, chętnie Ci pomożemy. Możesz zadzwonić do naszego agenta telekomunikacyjnego pod numer 1-800-365-8222. Jeśli masz dodatkowe pytania, zadzwoń do nas.
Poprosiła mnie, abym wszedł na jej stronę internetową i obejrzał najnowsze pakiety głosowe, tekstowe lub danych, które oferowała. Tak właśnie zrobiłem. Ponownie, nie jestem pewien, dlaczego tak się nie stało"
188,no,"Klient: Chcę uaktualnić do VoIP
TelCom Agent: Dlaczego warto uaktualnić do VoIP?
Klient: Cóż, jestem właścicielem małej firmy i staram się znaleźć najlepszy sposób, aby jak najlepiej wykorzystać mój biznes. Dzisiaj zadzwonił do mnie klient, który chciał uaktualnić swoją umowę. Powiedział mi, że nie mogą zawrzeć umowy z TelCom i chcą przejść na VoIP i będą płacić za to bardzo wysokie stawki. Powiedziałem mu, że nie będą nic płacić za VoIP, a on zapytał, czy może zmienić swój plan na Vo"
189,no,"Klient: Och, chciałbym tylko uaktualnić do 200 GB danych.
TelCom Agent: Dziękuję za informacje. Opłata za uaktualnienie wynosi 30 USD i zostanie przetworzona w ciągu kilku dni. Nowa stawka jest następująca: 52,50 USD miesięcznie za pakiet danych o pojemności 200 GB.
Klient: Świetnie! Zmienię umowę i od razu zarejestruję się w nowym planie.
Agent TelCom: W porządku. Co chciałbyś zrobić, aby tak się stało?
Klient: Specjalnie dla Ciebie chciałbym zamówić nowy modem.
TelCom Agent: Czym?
Klient: Nowy"
190,no,Nan
191,no,"Klient: Chciałbym dodać linię dalekobieżną. Moja obecna umowa jest na czas określony 3 miesiące. Chciałbym przedłużyć tę umowę na kolejny okres od 4 miesięcy do 6 miesięcy z opcją przedłużenia na kolejny okres 12 miesięcy.
TelCom Agent: Świetnie. Dziękuję bardzo za zainteresowanie. Zamierzam teraz rozpocząć proces aktualizacji. O której godzinie chcesz zainstalować nową linię?
Klient: Chciałbym, aby zostały zainstalowane do godziny 13:00 jutro, więc jutro jest 13:00 w poniedziałek.
TelCom Agent: Świetnie. Spotkamy się z Tobą w sprawie"
192,no,"Klient: Głos
Agent telekomunikacyjny: Aby uaktualnić usługę głosową, czy byłbyś skłonny zapłacić 30 USD miesięcznie za 50 minut głosu?
Klient: Tak
TelCom Agent: Dziękuję za poświęcony czas. Czy byłbyś skłonny zapłacić 30 USD miesięcznie za 50 minut głosu?
Klient: Tak
TelCom Agent: Dziękuję za poświęcony czas. Miło słyszeć, że już zaktualizowałeś swoją usługę do głosu. Czy byłbyś skłonny zapłacić 60 USD miesięcznie za nieograniczone korzystanie z głosu?
Klient: Tak
TelCom Agent: Dziękuję za poświęcony czas. Doceniamy Twój biznes i chcielibyśmy"
193,no,Nan
194,no,"Klient: Jestem zadowolony z głosu, tekstu i danych. Chciałbym zobaczyć aktualną cenę, jeśli mógłbyś wysłać mi ją teraz.
Agent TelCom: Jasne, natychmiast wyślę ci aktualną cenę za twoją usługę. Mamy kilka zmian do wprowadzenia i muszę zaktualizować wasze konto, więc będzie to kilka minut?
TelCom Agent: Jasne. Utworzymy dla Ciebie tymczasowe konto, aby przelać środki ze starego konta TelCom.
Klient: OK, mam konto tymczasowe. Mam kartę U.S. Bank MoneyPak"
195,no,"Klient: Chcę uaktualnić moją umowę do Fido i chciałbym mieć 2 miesiące nieograniczonej rozmowy i tekstu.
Agent TelCom: Dziękuję Andrew za odpowiedź. Przykro mi słyszeć o twoim niezadowoleniu. Czy zechcesz dostarczyć nam kopię umowy, abyśmy mogli podać szacunkowy koszt aktualizacji?
Klient: Jasne. Oto ona.
Agent TelCom: Dzięki Andrew. Wkrótce się z Tobą skontaktujemy.
Erika: Dziękujemy za rozmowę z TelCom i mamy nadzieję na współpracę z Tobą w przyszłości. Proszę skierować mnie do"
196,no,Nan
197,yes,"Klient: Otrzymuję ten dziwny błąd na moim telefonie, który mówi: ""Szyfrowanie nie powiodło się. Usługa nie jest już dostępna"". Zastanawiałem się, co trzeba zrobić, aby rozwiązać ten problem, ale nie udało mi się uzyskać odpowiedzi od TelCom.
Agent TelCom: Cóż, szczerze mówiąc, nie jestem pewien, czy naprawdę masz problem, ponieważ jest to dość powszechne dla użytkowników iPhone'a, którzy otrzymują te wiadomości. Jest to więc coś wspólnego z używaniem iPhone'a, a jego własna wersja Google nazywa się Android, który jest mobilnym systemem operacyjnym (MOOS), którego używasz, który również używa szyfrowania.
Klient: Zgadza się. Więc co może"
198,yes,"Klient: Cóż, odbierałem telefony od bardzo dobrego przyjaciela, który jest agentem TelCom i powiedziałem mu to samo, ale problem nie został rozwiązany. Zaoferował mi umowę 20 USD / mo, ale to nie jest dla mnie wystarczająco dobre, ponieważ dostaję 20 USD z jego kieszeni.
Agent TelCom: Och, przykro mi słyszeć to Mable. Czy mogę ponownie złożyć ofertę?
Klient: Jasne. $ 60 do anulowania przez dziewięć miesięcy z premią $ 20 / mo.
TelCom Agent: O rany, to taki dobry interes. Mam nadzieję, że najlepsze dla tego sklepu i mam nadzieję, że ten przyjaciel przyjdzie"
199,no,Nan
