churn,chat_log,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
no,"Klient: Chciałbym zmienić mój dotychczasowy plan taryfowy na połączenia głosowe na plan taryfowy Vodafone 4G, a mój dotychczasowy plan taryfowy na SMS na plan taryfowy Vodafone 4G.
Agent TelCom: Miło mi to słyszeć, Vera. Jaki jest całkowity koszt aktualizacji?
Klientka: Około 40,00 USD za aktualizację moich usług głosowych, tekstowych i transmisji danych.
Agent TelCom: Miło mi to słyszeć, Vera. Jak długo potrwa aktualizacja?
Klientka: To zależy od wielu czynników. Jeszcze dziś muszę się zarejestrować i zaktualizować dane konta, ale aktualizacja powinna potrwać nie dłużej niż 3-4 tygodnie.
",ID,174,area_code_408,no,no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1
no,"Klient: Chciałbym zmodernizować mój system głosowy.
Agent TelCom: Radzę, aby najpierw upewnił się Pan, że ma wystarczający kredyt. Radzę porozmawiać o tym ze swoim doradcą kredytowym. Następnie proponuję skorzystać z jednej z wielu dostępnych usług internetowych, które pomogą w podwyższeniu standardu.
Klient: Dobrze, odsyłam Pana do jednej z usług internetowych. Proszę pozwolić mi kliknąć na jedną z usług online.
Klient: Cześć, jestem Ashley. Chciałabym zapytać o kilka wskazówek, jak najlepiej wykorzystać usługi operatora telefonicznego. I",UT,116,area_code_415,no,yes,44,230.6,94,39.2,224.1,103,19.05,244.0,76,10.98,11.1,2,3.0,0
yes,"Klient: Po prostu nie mogę wejść do Internetu, żeby sprawdzić stan konta i tym podobne rzeczy. Po prostu nie mam do tego dostępu.
Agent TelCom: Upewnia się Pan, że nie ma żadnych problemów z kontem i próbuje rozwiązać umowę?
Klient: Zgadza się.
Agent TelCom: Dobrze. Czy mogę sprawdzić, czy nie ma innych problemów, które mogą się z Panem/Panią dzisiaj wiązać?
Klient: Nie ma żadnych problemów, po prostu chcę, żeby to zniknęło z mojego telefonu.
Agent TelCom: Dobrze. A jaki jest problem, z którym się Pan/Pani boryka?
Klient: Robi się tu za gorąco.
Agent TelCom: Dobrze,",OH,123,area_code_510,no,no,0,222.4,90,37.81,286.3,104,24.34,300.8,95,13.54,9.9,3,2.67,2
no,"Klient: Chcę rozszerzyć mój plan taryfowy na transmisję danych w technologii LTE.
Agent TelCom: Czy w tym celu trzeba będzie zmienić plan taryfowy?
Klient: Tak, nie będę mógł korzystać z mojego obecnego planu.
Agent TelCom: Należy skontaktować się z obecnym operatorem. Jeśli oferuje on plan taryfowy na transmisję danych z prędkością LTE, szczegóły prześlemy później.
Klient: Dobrze, sprawdzę to u mojego operatora.
Agent TelCom: Dziękuję, Virginia. Zacznijmy od telefonu. Czy możesz wziąć swój aktualny numer telefonu i aktualny numer rejestracyjny TelCom, a następnie załączyć je",GA,80,area_code_408,no,no,0,142.9,70,24.29,221.6,83,18.84,121.4,111,5.46,15.2,4,4.1,1
yes,"Klientka: Cóż, odnoszę naprawdę duże sukcesy z usługą, a powodem tego jest fakt, że prowadzony jest rejestr moich wizyt i muszę powiedzieć, że moje wizyty mają złą reputację i chciałbym zrezygnować z usługi, ponieważ widziałem, że tak wiele osób skarży się na tę usługę. Kiedy więc kliknąłem na Waszą stronę i rozpocząłem rejestrację w serwisie, pierwszą rzeczą, jaką zobaczyłem, był ten komunikat. ""Być może doręczono Ci nakaz sądowy, nakaz lub wezwanie do wydania rejestrów połączeń Twoich klientów"". Jedyne, co zostało zrobione, to przesłanie mi rejestrów klientów. Nie można uzyskać od nich żadnych informacji.
Agent TelCom: To jest",OH,133,area_code_408,yes,no,0,254.7,103,43.3,252.2,80,21.44,178.1,103,8.01,8.0,3,2.16,0
no,"Klient: Jestem zainteresowany przejściem na transmisję danych.
Agent TelCom: Dziękuję, mam tam techników, którzy będą w stanie pomóc w tej sprawie. Proszę przyjść później.
Klient: Tak, życzę powodzenia. Do widzenia, David.
David poszedł do sklepu AT&T w Santa Monica. Byli bardzo mili i pomocni. Kupił nowy telefon, a oni go zainstalowali. David był zachwycony usługą. Co powiesz na to, aby spróbować jeszcze raz skorzystać z usług TelCom? TelCom może być bardzo pomocny i oferuje wiele rabatów. Naprawdę nie można popełnić błędu, modernizując swój telefon.",WI,141,area_code_415,no,yes,33,168.4,127,28.63,185.1,106,15.73,220.0,78,9.9,11.0,4,2.97,2
no,"Klient: Chciałbym przejść na nielimitowany pakiet danych.
Agent TelCom: Witam, to świetny pomysł, Panie Kliencie. Z przyjemnością zaktualizuję Pańską usługę do tego pakietu. Proszę oddzwonić za kilka dni.
Klient: Ok. Rozmowa z TelCom trwała około 18 godzin, bo to będzie długa rozmowa. Proszę podać mi swój numer i mój imei.
Klient: Mogę podać mój numer i mój numer imei.
Agent TelCom: Nie ma sprawy. Może Pan zadzwonić do mnie za kilka dni, podając swój numer i numer imei.
Tel",AR,89,area_code_415,no,yes,25,215.1,140,36.57,197.4,69,16.78,162.1,117,7.29,10.6,10,2.86,1
no,"Klient: Tekst.
Agent TelCom: A pod jaki numer chciałby pan to wpisać?
Klient: 555-5555.
Agent TelCom: Dobry wybór. Przyjrzę się temu i zobaczę, czy uda mi się ustalić dla Pana odpowiednią stawkę.
Klient: W porządku, dziękuję.
Agent TelCom: Chyba będę musiał wykonać jeszcze jeden telefon do działu obsługi klienta, aby rozpocząć ten proces.
Klient: W porządku, dziękuję.
Agent TelCom: Proszę usiąść.
Klient: Tak, dzień dobry.
Agent TelCom: Cześć Jane, dziękuję za telefon.",WA,71,area_code_408,no,no,0,141.2,132,24.0,149.1,90,12.67,171.4,72,7.71,7.0,2,1.89,2
no,,MN,166,area_code_408,no,no,0,152.1,95,25.86,121.0,105,10.29,198.0,126,8.91,9.8,5,2.65,0
no,"Klient: Jestem zadowolony z systemu głosowego i tekstowego, który mam obecnie. Chciałbym przejść na 4G LTE, a mam telefon GSM w sieci T-Mobile. Co by mi Pan polecił?
Agent TelCom: Mogę polecić dostawcę usług, ale nie mogę podać konkretnego terminu, w jakim będzie Pan musiał dokonać uaktualnienia. Najlepiej będzie, jeśli zarejestruje się Pan u innego dostawcy usług, a my skontaktujemy się z Panem tak szybko, jak tylko będzie to możliwe.
Klient: Wielkie dzięki. Czy jest jeszcze coś, w czym mogę pomóc?
Agent TelCom: Oczywiście, odezwę się do Pana.",NJ,151,area_code_415,no,no,0,118.9,128,20.21,278.3,65,23.66,194.8,61,8.77,13.2,10,3.56,2
no,"Klient: Chcę już dziś uaktualnić moją obecną umowę, aby móc korzystać z lepszej jakości usług.
Agent TelCom: Dobrze. Co chce Pan/Pani uaktualnić?
Klient: Cóż, próbuję się dowiedzieć, czy usługa, którą mam, jest warta więcej niż to, co płacę teraz. Muszę też wiedzieć, jaka jest różnica między VOIP a VoIP.
Agent TelCom: W porządku Robercie, nie jestem pewien, czy jest jakaś różnica między VOIP a VoIP. Różnica między telefonem VoIP a usługą telefoniczną VoIP jest zazwyczaj taka, że VOIP",CO,90,area_code_408,no,no,0,109.9,102,18.68,220.8,114,18.77,104.0,133,4.68,10.9,6,2.94,0
no,"Klient: Poproszę głos i tekst.
Agent TelCom: Dziękujemy za kontakt z firmą TelCom i chętnie odpowiemy na Państwa pytania. Czy mogę zadać Panu kilka pytań?
Klient: Oczywiście, mogę odpowiedzieć na wszystkie pytania. Czy oferujecie pakiety?
Agent TelCom: Tak, oferujemy różne pakiety. Z przykrością stwierdzamy, że nie oferujemy żadnego pakietu na dane, ponieważ nie mamy wystarczającej przepustowości, aby go oferować.
Klient: Przykro mi, ale chciałem porozmawiać z kimś z działu komunikacji i byłbym wdzięczny za możliwość porozmawiania z kimś z działu komunikacji.",WV,32,area_code_408,no,yes,26,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1
no,,NC,83,area_code_510,no,yes,36,95.9,87,16.3,261.6,105,22.24,228.6,109,10.29,13.3,4,3.59,0
no,,ME,123,area_code_408,no,no,0,114.4,91,19.45,216.6,123,18.41,250.6,102,11.28,11.0,3,2.97,0
no,,CT,124,area_code_415,no,no,0,151.0,98,25.67,120.6,119,10.25,152.8,81,6.88,9.2,2,2.48,2
no,"Klient: Chciałbym przedłużyć umowę na 60 miesięcy z 60 GB danych i nielimitowanymi połączeniami głosowymi.
Agent TelCom: Świetnie! Proszę o podanie imienia i nazwiska, numeru telefonu i adresu oraz krótkiego opisu obniżki, którą chcesz zaoferować.
Klient: Mogę podać mój numer telefonu i adres e-mail. Przykro mi, ale wie pan co? Zamierzam dzisiaj dokonać aktualizacji.
Agent TelCom: 10 lat pracy w firmie TelCom. To jest doskonała obsługa klienta. David, w sprawie uaktualnienia mogę Ci pomóc, dzwoniąc do Centrum Obsługi Lokalizacji Sprint pod numer 1-800-SPRINT. Czy .",NY,64,area_code_408,no,no,0,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,9.7,5,2.62,1
no,"Klient: Tekst.
Agent TelCom: Dobrze, tak. Jak się nazywasz i jaki jest Twój numer telefonu?
Klientka: Eliza.
Agent TelCom: Eliza, gdzie się pani znajduje?
Eliza: Cóż, jestem w Orlando na Florydzie.
Agent TelCom: Dobrze, ma Pani konto TelCom, czy może się Pani na nie zalogować?
Klientka: Tak, właśnie się loguję.
Agent TelCom: Dobrze, widzę, że ma Pan/Pani konto TelCom. Następną informacją, którą należy przesłać, jest kopia aktualnego rachunku.
Klient: Zgadza się.
Agent TelCom",MT,50,area_code_415,no,yes,22,252.9,112,42.99,177.9,99,15.12,158.4,146,7.13,8.5,4,2.3,3
no,"Klient: Chcę uaktualnić moją usługę i w tym celu chcę zwiększyć ilość danych w umowie, którą obecnie posiadam, za 50 USD rocznie.
Agent TelCom: Miło mi to słyszeć, Gale. A jakiego języka chciałabyś, abyśmy użyli w rozmowie z Tobą, abyśmy mogli zaktualizować Twoją usługę?
Klient: Na moim iPhonie mam dostępne tłumaczenie i chciałbym, abyście je dla mnie aktywowali, jeśli macie jeszcze jakieś pytania w tej sprawie.
Agent TelCom: Dziękuję Gale, więcej informacji jest dla Ciebie ważne, abyś mógł podjąć dobrą decyzję. Przekażę Ci tłumaczenie, a następnie",LA,106,area_code_408,no,no,0,220.7,120,37.52,270.2,95,22.97,121.6,113,5.47,8.7,5,2.35,1
no,,ID,88,area_code_415,no,no,0,55.6,65,9.45,242.7,121,20.63,176.3,134,7.93,11.3,4,3.05,0
no,,NH,148,area_code_510,no,no,0,168.8,102,28.7,248.1,125,21.09,250.7,96,11.28,10.6,4,2.86,1
yes,"Klient: Mam konto w TelCom i od około miesiąca nie działa. Odkąd je założyłem, jest niefunkcjonalne. Jest na nim napisane, że jestem klientem TelCom, ale nic na nim nie działa.
Agent TelCom: Pomyślałem, żeby wejść na stronę internetową TelCom, a następnie przejrzeć swoją umowę. Powinieneś wiedzieć, co to jest umowa TelCom. Odkąd się zarejestrowałeś, byłeś miły i pomagałeś ludziom, ale coś tu nie gra. Czasami muszę z Tobą o tym porozmawiać.
Klient: Dobrze, postaram się z panem porozmawiać po południu.
Agent TelCom: Dobrze, .",MN,152,area_code_415,no,no,0,317.8,60,54.03,152.9,100,13.0,123.4,63,5.55,10.4,7,2.81,1
no,"Klient: Potrzebuję usługi głosowej przez Internet i tekst, która kosztuje 31,50 USD miesięcznie.
Agent TelCom: Świetnie, dziękuję za informacje. Teraz proszę poszukać na ekranie okienka i kliknąć przycisk aktualizacji.
Klient: Dziękuję. Minęło kilka minut i moje dane zostały zaktualizowane. Dziękuję za pomoc, Rick.
Rick: Dziękuję, Shirley. A teraz przejdźmy do następnego połączenia.
Klient: Nie mam wysokiego priorytetu, a moje zgłoszenie zostało zamknięte ponad miesiąc temu. Pamiętam, że czytałem o kilku rzeczach, o których należy pamiętać przed dokonaniem aktualizacji.
Rick: I",CT,100,area_code_415,no,no,0,235.8,130,40.09,176.0,69,14.96,63.6,122,2.86,7.3,1,1.97,2
no,"Klient: Zastanawiam się nad uaktualnieniem oferty głosowej i chciałbym otrzymać plan taryfowy na transmisję danych 500 plus minut za 46 USD miesięcznie.
Agent TelCom: Dziękuję. W miarę postępu prac zadam jeszcze kilka pytań. Czy potrzebuje Pan/Pani opiekuna klienta?
Klient: Nie, nie czuję się z tym komfortowo.
Agent TelCom: Skończmy z tymi bzdurami, Dennis. Czy chcesz zadzwonić do swojego agenta TelCom, czy to po prostu nie w Twoim stylu?
Klient: Chciałbym porozmawiać z pracownikiem działu obsługi klienta. Przykro mi, ale zmieniłem zdanie. Chciałbym",MA,101,area_code_415,no,yes,21,238.0,88,40.46,209.6,84,17.82,233.0,95,10.49,10.0,5,2.7,2
no,"Klient: Chciałbym uaktualnić mój pakiet danych.
Agent TelCom: Dobrze, Gregory, właśnie zakończyłeś aktualizację, czy chciałbyś porozmawiać z opiekunem?
Klient: Oczywiście, moim przełożonym jest ta sama osoba co z tobą, Sonja.
Agent TelCom: Świetnie Gregory, dziękuję, że znalazłeś czas, aby ze mną porozmawiać. Przykro mi, ale dzisiaj nie mamy dla Pana/Pani dostępnych pakietów. Odbieram to jako frustrację związaną z Twoją umową. Proszę mi powiedzieć, jaki pakiet chciałby Pan uaktualnić i ile byłby Pan skłonny za to zapłacić?
Klient: Chciałbym zwiększyć pakiet do 100 megabajtów.",IN,64,area_code_408,no,no,0,113.8,97,19.35,192.3,97,16.35,214.9,89,9.67,10.4,1,2.81,3
no,"Klient: Będę korzystał z Internetu i poczty głosowej.
Agent TelCom: Jasne, świetnie. To wszystko, co mamy dla Pana dzisiaj. Dziękuję.
Klient: Dziękuję bardzo. A może wyślę Panu dane mojej karty kredytowej, abyśmy mogli otrzymać telefon jeszcze tego samego dnia?
Agent TelCom: Jasne, nie ma problemu.
Klient: Świetnie, jeśli mogę to wysłać teraz, mogę to zrobić teraz.
Agent TelCom: Oczywiście.
Klient: Miłego dnia, do widzenia.
Agent TelCom: Do widzenia.
Klient: Ok, więc",CT,84,area_code_510,no,yes,42,165.3,97,28.1,223.5,118,19.0,260.8,72,11.74,7.6,7,2.05,3
no,"Klient: Cóż, szukam możliwości rozbudowy usług głosowych, a to oznacza, że chciałbym mieć linię głosową i plan taryfowy na wiadomości tekstowe, dzięki czemu będę mógł mieć obie te usługi. Jaki numer telefonu jest dla Pana najlepszy?
Agent TelCom: Możemy zacząć od tego. Jeśli chciałby Pan porozmawiać z Joe, mogę podać Panu numer telefonu do TelCom.
Klient: Ok, Joe, czy mogę rozmawiać z Joe?
Joe: Cześć, jestem Joe. Jak masz na imię Mary?
Mary: Mam na imię Mary.
Joe: Świetnie. Mam numer, który mogę ci dać. To jest Vo",MI,105,area_code_415,no,yes,29,179.4,113,30.5,275.4,100,23.41,246.1,105,11.07,10.0,5,2.7,0
no,"Klient: Mogę używać głosu i tekstu.
Agent TelCom: Dziękuję. Rozumiem. Jak długo to potrwa?
Klient: Cóż, myślę, że kilka tygodni, jestem zadowolony z waszego działu telefonicznego.
Agent TelCom: Ach, kilka tygodni? Co mogę dla Pana zrobić dzisiaj?
Klient: Właśnie czegoś szukam. Nie udało mi się w ogóle uzyskać upgrade'u telefonu komórkowego. Chodzi mi głównie o telefon GSM, który kupiłem w zeszłym roku.
Agent TelCom: Ach, telefon GSM. Jeszcze raz dziękuję za współpracę, Chase. Czy mogę",AZ,141,area_code_510,no,yes,22,215.4,123,36.62,328.7,98,27.94,160.5,89,7.22,7.8,6,2.11,1
no,"Klient: Lubię pocztę głosową i SMS-y.
Agent TelCom: Doskonale. Czy to jest powód, dla którego szukał Pan nowej umowy?
Klient: Chyba denerwuje mnie to, że nie mogę rozmawiać z kimś, kto jest poza domem.
Agent TelCom: Doskonale. Skoro żałuje Pan, że nie może porozmawiać z prawdziwym człowiekiem, to może poprosi Pan, żeby do Pana zadzwonili i zostawili wiadomość?
Klient: Tak, to świetnie. Dzięki. Sprawdzę to.
Agent TelCom: Świetnie. Jeśli chciałbyś skorzystać z",MO,20,area_code_415,no,no,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0
no,"Klient: Jestem zainteresowany zwiększeniem pakietu usług głosowych i transmisji danych, ale nie jestem pewien, ile to będzie kosztować.
Agent TelCom: Dobrze, to będzie dodatkowe 11,98 USD. Ile chciałby pan dopłacić?
Klient: Dużo piszę SMS-ów i zauważyłem, że przez to telefon ma gorszą jakość głosu.
Agent TelCom: Dobrze, przejdę do centrum obsługi telefonicznej i porozmawiam z Panem na ten temat. Jak szybko mogę się dowiedzieć, czy dokonał Pan/Pani zakupu?
Klient: Powinienem oddzwonić w ciągu najbliższych pięciu lub dziesięciu minut.",AZ,48,area_code_415,no,yes,27,141.1,109,23.99,224.7,94,19.1,174.3,122,7.84,13.2,2,3.56,1
no,"Klient: Chciałbym unowocześnić moje usługi głosowe i tekstowe, a obecnie mam dwie linie telefoniczne i kosztują one 50 USD miesięcznie, a przez ostatnie 3 miesiące było to 50 USD. Czy moglibyście mi w tym pomóc lub co byście mi polecili?
Agent TelCom: Obecnie dostępnych jest kilka opcji, mogę je przedstawić i pokazać, ile wyniosłyby opłaty w przypadku zakupu każdej z nich.
Agent TelCom: Koszt transmisji danych głosowych wynosi 30 USD/miesiąc.
Dane głosowe - 30 USD/miesiąc. Dane głosowe i tekstowe - 30 USD.",CO,74,area_code_415,no,no,0,225.2,93,38.28,215.1,120,18.28,241.8,95,10.88,9.1,2,2.46,2
no,"Klient: Chcę podwyższyć ilość danych w moim planie taryfowym.
Agent TelCom: Ile wyniosłaby aktualizacja planu taryfowego?
Klient: 1 GB.
Agent TelCom: 1 GB. Nie ma problemu, bardzo dziękuję. A czy będzie wezwanie do rezygnacji, jeśli nie otrzymamy aktualizacji w ciągu najbliższych 2 tygodni?
Agent TelCom: Oczywiście, proszę chwilę poczekać.
Agent TelCom: Zaznaczę Pana nazwisko do następnego połączenia, a następnie zajmiemy się tą sprawą.
3 minuty później otrzymuję telefon od firmy TelCom. Chodzi o anulowanie mojej usługi.",MD,120,area_code_415,no,yes,40,128.1,99,21.78,247.7,78,21.05,199.7,121,8.99,15.6,3,4.21,0
no,"Klient: Chciałbym zmodernizować moją linię z tekstowej na internetową i chciałbym, aby cena była równa lub niższa niż ta, którą TelCom oferuje za mój obecny pakiet.
Agent TelCom: Dobrze, ile to będzie kosztować?
Klient: Przykro mi, ale nie wiem.
Agent TelCom: Dobrze, zobaczmy, ja pójdę do głównego biura, a wy możecie do mnie wrócić. Wyślę panu numer potwierdzenia.
Klient: Dobrze, dziękuję panu. Proszę do mnie oddzwonić, gdy będę miał cenę.
Agent TelCom: Dobrze, James, dziękuję.",DE,139,area_code_408,no,no,0,139.0,110,23.63,132.9,93,11.3,272.0,120,12.24,12.1,1,3.27,0
no,,CO,125,area_code_408,no,yes,23,120.5,104,20.49,227.8,115,19.36,158.5,100,7.13,10.2,3,2.75,1
no,"Klient: Wszystkie trzy.
Agent TelCom: Wszystkie trzy. Jak długo to potrwa i czy ma Pan z nami podpisaną umowę?
Klient: Będę musiał zmienić harmonogram korzystania z mojej poczty elektronicznej i telefonu.
Agent TelCom: Zawsze chętnie służymy pomocą i zawsze możemy to naprawić. Gdzie można teraz zarobić pieniądze?
Klient: Przykro mi, ale muszę już kończyć, ale na pewno zadzwonię, wrócę i dam znać. Bardzo dziękuję i czekam na kolejną wiadomość od Pani.
Helen: Dziękuję.",AR,163,area_code_408,no,no,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1
no,"Klient: Chciałbym zaktualizować mój pakiet głosowy lub tekstowy do najnowszej wersji.
Agent TelCom: A do jakiej wersji chciałby Pan/Pani dokonać aktualizacji?
Klient: Do najnowszej, Jennifer.
Agent TelCom: A czy chciałby Pan/Pani zaktualizować również pakiet danych?
Klient: Tak, chciałbym uaktualnić pakiet danych.
Agent TelCom: Ale do jakiej wersji pakietu danych chciałby Pan/Pani go zaktualizować?
Klient: [wzdycha, zastanawiając się nad pytaniem].
Agent TelCom: Wiem, Jason, wiem, ale odpowiedź na to pytanie jest bardzo trudna. Czy...",IN,86,area_code_415,no,no,0,166.2,112,28.25,255.3,81,21.7,228.1,97,10.26,5.4,7,1.46,1
no,"Klient: Nie mam zbyt wielu urządzeń i chcę je rozbudować do 1 Giga.
Agent TelCom: Czy chciałby Pan porozmawiać z kierownikiem?
Klient: Oczywiście. Mogę rozmawiać z pracownikiem korporacji, ale nie jestem zadowolony z tego, jak mnie traktują. Chciałbym przejść na transmisję danych.
Agent TelCom: Rozmawiasz z TelComem, a ja nazywam się Mary. Czy mogę zacząć od podania nazwiska i numeru telefonu?
Klient: Tak, witam. Nazywam się Kathy, a mój numer telefonu to 8964822385.
Agent TelCom: Dziękuję, Kathy. I jak",VT,120,area_code_415,no,no,0,221.3,106,37.62,267.6,98,22.75,111.5,80,5.02,9.3,7,2.51,0
no,,ID,104,area_code_415,yes,no,0,148.2,108,25.19,161.8,113,13.75,259.3,103,11.67,11.0,4,2.97,0
yes,"Klient: Zastanawiam się tylko... Od kilku miesięcy jestem na waszej stronie internetowej i powiedzieliście mi, że nie muszę odłączać usługi, że mogę się z nami skontaktować, jeśli będę miał jakiekolwiek problemy z usługą lub coś podobnego, ale co muszę zrobić, żeby to zrobić?
Agent TelCom: Rozumiem, że ze względu na charakter naszej usługi internetowej trzeba wprowadzić do systemu swoje imię i nazwisko, numer telefonu i inne podobne dane, ale wiesz, że mamy system działający online, dzięki któremu możesz dowiedzieć się, czy masz jakieś problemy, wchodząc na stronę internetową i wybierając numer telefonu.",NY,64,area_code_415,yes,no,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1
no,"Klient: Dziękuję TelCom za pomoc. Chcę zmienić plan taryfowy Telstra dotyczący połączeń głosowych na plan taryfowy dotyczący transmisji danych w sieci komórkowej. Na jakie aspekty powinniście zwrócić uwagę, próbując wybrać odpowiedni dla mnie plan?
Agent TelCom: Zalecałbym rozważenie opcji transmisji danych. Plany transmisji danych oferują największą prędkość połączeń głosowych i transmisji danych. Za plan taryfowy na połączenia głosowe trzeba zapłacić znacznie mniej, ale przydział danych jest znacznie mniejszy. Telefony firmy Telstra zawsze słynęły z wysokiej jakości głosu i oferują ją ponownie w planach taryfowych Telstra na transmisję danych. Niższe opłaty za przesyłanie danych w roamingu",NE,105,area_code_415,no,yes,27,141.2,96,24.0,167.7,94,14.25,274.4,101,12.35,11.4,2,3.08,1
no,"Klient: Och, uaktualniam swój telefon i wszystko inne. W ciągu kilku najbliższych dni przekażę panu środki na konto.
Agent TelCom: Dziękuję. Przykro mi, że nie mogę dzisiaj rozmawiać przez telefon.
Agent TelCom: Jeśli chce pan dokonać aktualizacji, proszę o numer faksu.
Klient: Jasne, Michał. Tak, wszystko w porządku.
Agent TelCom: Jasne Leon, daj mi znać, jak długo potrwa zaksięgowanie nowego kredytu na twoim koncie.
Agent TelCom: Dziękuję. A kredyt jest na 3875 GSM, mniej więcej.",VT,152,area_code_510,no,yes,20,214.6,108,36.48,96.6,82,8.21,170.7,145,7.68,7.9,5,2.13,1
yes,"Klient: Um... Mamy teraz problem z modemem i prędkość wysyłania danych jest bardzo niska.
Agent TelCom: Zaczynasz więc rozumieć, dlaczego mój kolega powiedział, że może nie chcesz teraz ryzykować zostania klientem TelCom?
Klient: Nie ma żadnego ryzyka. Nie pamiętam swojego hasła.
Agent TelCom: Dobrze, ale czy mógłbyś przynajmniej podać mi swój numer ubezpieczenia społecznego?
Klient: Jasne.
Agent TelCom: Dobrze, czy ma Pan/Pani jeszcze jakieś pytania?
Klient: Nie. Po prostu mam już dość płacenia za tę usługę i kończę z tym. Dziękuję .",DC,82,area_code_415,no,no,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0
no,,AR,135,area_code_510,no,yes,27,273.4,141,46.48,154.0,99,13.09,245.8,112,11.06,12.3,6,3.32,1
no,"Klient: Jestem bardzo zadowolony z opcji połączeń głosowych i tekstowych, które oferuje mi TelCom. Chciałbym przedłużyć umowę na usługi głosowe i tekstowe. Chciałbym, aby moja umowa wynosiła 200 dolarów miesięcznie przez 2 lata.
Agent TelCom: A kiedy chciałby Pan przedłużyć tę umowę, czy będzie Pan mógł to zrobić?
Klient: Tak, jestem pewien.
Agent TelCom: Dziękuję Johnathanie, połączyłeś się z TelComem i będę się z Tobą kontaktował tak szybko, jak tylko będę mógł. Dziękuję.",NC,27,area_code_408,no,no,0,201.2,128,34.2,227.2,100,19.31,145.8,91,6.56,8.4,3,2.27,2
no,,ME,97,area_code_510,no,no,0,211.0,76,35.87,189.0,100,16.07,123.0,102,5.54,4.7,4,1.27,3
no,"Klient: Chciałbym zmienić swój telefon z planu standardowego na plan taryfowy na transmisję danych.
Agent TelCom: Świetnie, a czy może Pan to zrobić dzisiaj, proszę?
Klient: Nie wiem, czy to znaczy ""tak"" czy ""nie"". Zastępca?
Zastępca: Tak.
Klient: Ale w tej chwili odpowiada mi mój obecny plan.
Zastępca: Więc to jest ""tak"" czy ""nie""?
Klient: Naprawdę muszę zmienić numer, bo ostatnio dużo dzwonię i mam duży ruch w telefonie. To bardzo dużo jak na mój telefon.",MN,59,area_code_408,no,yes,32,211.9,120,36.02,202.9,136,17.25,213.5,95,9.61,8.8,5,2.38,1
no,"Klient: Potrzebuję tylko danych.
Agent TelCom: Doskonale, proszę postępować zgodnie z poniższą procedurą krok po kroku, aby uaktualnić usługę.
Klient: Cześć, jestem tu z Tomkiem. Pracuję w firmie TelCom od 2005 roku. Chciałbym uaktualnić moją usługę internetową.
Agent TelCom: Bardzo dziękuję, Tomku. Zacznę od omówienia Twojej obecnej umowy i sprzętu, który obecnie posiadasz.
Klient: Internet jest bardzo dobry. Mój modem i router są prawie tak dobre, jak te, które daje TelCom. Mam też kilka innych urządzeń, takich jak interfejs audio, PDP 8,5 i PDP 8,5.",WI,90,area_code_415,no,no,0,200.9,92,34.15,164.3,91,13.97,249.0,98,11.21,8.9,7,2.4,1
no,,GA,76,area_code_408,no,no,0,203.6,61,34.61,161.7,127,13.74,175.9,97,7.92,8.4,3,2.27,0
yes,,MN,115,area_code_510,yes,no,0,122.0,110,20.74,220.2,100,18.72,179.7,124,8.09,10.8,2,2.92,2
no,"Klient: Głos. Cieszę się z możliwości przejścia na bardziej niezawodną usługę.
Agent TelCom: Świetnie. A jaki rodzaj usługi chciałby Pan otrzymać?
Klient: Szukam telefonu komórkowego, który umożliwia wykonywanie połączeń bez użycia rąk.
Agent TelCom: Świetnie. A jaki to ma być model?
Klient: 18650.
Agent TelCom: Czy ma pan już opłatę za uaktualnienie w wysokości 39,00 USD?
Klient: Nie, jeszcze jej nie otrzymaliśmy.
Agent TelCom: Dziękuję, Gene. A czy możesz podać mi swoją...
Klient: Tak, mogę.
Agent TelCom",RI,73,area_code_415,no,no,0,241.7,115,41.09,168.5,133,14.32,169.8,122,7.64,11.1,2,3.0,2
no,,ME,146,area_code_415,no,no,0,174.3,113,29.63,200.7,107,17.06,281.2,145,12.65,11.6,3,3.13,4
