churn,chat_log
no,"Klient: Nie jestem jeszcze pewien.Patrzę na komponenty głosowe i tekstowe, aby ulepszyć, ale teraz jest to mylące.
Agent Telcom: Świetnie !!Czy będziesz potrzebować pomocy w tym?
Klient: Oczywiście.Mam problem z kodem obszarowym dla mojego obecnego planu.Mówi, że jest w Waszyngtonie, ale właściwie znajduje się w DC.com.Jak mogę to naprawić?
Agent Telcom: Przykro mi to słyszeć Kimberly.Niestety nie mogę zaoferować ci żadnej pomocy w tym.Jeśli jesteś podłączony do niezawodnego kodu obszarowego, mogę odwiedzić Twój dom i sprawdzić swoją obecną sytuację.
Klient:"
no,"Klient: Chcę uaktualnić swój głos w Internecie do telefonu VoIP.
Agent Telcom: Tak, John, wspaniale jest słyszeć.Więc chciałbyś zacząć teraz, czy musisz poczekać dzień lub dwa, abyśmy przetworzyli Twoją prośbę?
Klient: Tak, chciałbym od razu ulepszyć.
Agent Telcom: W porządku, zacznę od zalogowania się do systemu Telcom i uzyskania danych kontaktowych dla naszego agenta.Czy chciałbyś, żebym zadzwonił do ciebie telefonem domowym lub telefonem komórkowym?
Klient: Tak, dziękuję.
Agent Telcom: dowolny"
no,"Klient: Mam linię Verizon FIOS, chciałbym zaktualizować do połączenia Telcom i mam dwie opcje/rachunki.
Agent Telcom: OK, więc masz dwie opcje, które trzymasz się swojej istniejącej usługi lub do której chcesz zaktualizować?
Klient: Chciałbym uaktualnić do tego połączenia Telcom, moją drugą opcją jest trzymanie się tego.
Agent Telcom: OK, to bardzo mądry wybór, ale muszę cię zapytać jeszcze jedną rzecz David.Czy chciałbyś teraz porozmawiać z moim przełożonym?
Klient: Jasne,"
no,"Klient: Tak, chciałbym uaktualnić do e-3e, e-3, 12-miesięczną umowę.
Agent Telcom: Świetnie.Dziękuję Jose i idź naprzód, aby podpisać umowę.
Klient: OK, jasne.
Agent Telcom: Dziękuję za oczekiwanie Jose.Czy chcesz poczekać kilka sekund, kiedy przesyłam cię do mojego przełożonego?
Klient: Jasne.To zajmie chwilę.
Agent Telcom: W porządku Jose, czy chcesz kopię mojego podpisu w tym zamówieniu?
Klient: Tak, jasne.
Agent Telcom: w porządku Jose, jeśli to zrobisz"
no,"Klient: Z przyjemnością uaktualnię, ale na razie chciałbym pozostać w tym samym planie serwisowym.Czy możesz mi powiedzieć, kiedy mogę uaktualnić z głosu do tekstu?
Agent Telcom: Dziękuję Pamela.Właśnie spojrzeliśmy na Twoje konto i możemy potwierdzić, że rzeczywiście jesteś w tej samej umowie i masz ten sam plan usług.Będziemy mogli jak najszybciej odpowiedzieć na Twoje pytania dotyczące Twojej obecnej usługi.
Klient: Dziękuję, chciałem tylko poinformować, że nie ma opóźnienia w odpowiedzi na pytania.Porozmawiam jutro z naszym menedżerem o 2:00.
Telcom"
no,"Klient: Chciałbym uaktualnić do piątego planu.
Agent Telcom: 5. plan?
Klient: Tak, 5. plan.
Agent Telcom: OK, pozwól mi sprawdzić moje dzienniki.Będę musiał skontaktować się z moim przełożonym.Możesz sprawdzić temat umowy, aby zobaczyć, co mamy dla Ciebie dostępne.Jeśli masz jakieś inne pytania lub obawy, jestem tutaj, aby pomóc.
Klient: To byłby świetny Wayne.Bardzo dziękuję."
yes,"Klient: Cóż, nie jestem bardzo zadowolony z usługi i obsługi klienta.Po prostu miałem bardzo głośne dzwonienie i nie jestem pewien, na czym polega problem, ponieważ nie zadałem sobie trudu próbowania rozmowy z nikim
Agent Telcom: Dlaczego nie zadzwonisz do naszego numeru obsługi klienta, a oni mogą cię rozwiązać.
Klient: Tak, jasne.Cóż, w porządku.Dziękuję.
Agent Telcom: W porządku, obawiam się, że Anna, przepraszam, że nie mogłem ci dzisiaj pomóc.Natychmiast skontaktuję się z tobą i wznowię naszą zwykłą usługę we właściwym czasie.
Klient: Dziękuję bardzo, to bardzo pomocne.Więc ja"
no,"Klient: Wpisz głos 3 i wybierz dane.
Agent Telcom: Dziękuję Gerald, wpisz informacje na ekranie dotykowym, a następnie naciśnij Enter.Zostaniesz rozliczony 1 159,87 USD.
Klient: To dla usługi Voice Over Internet Protocol (VOIP)?
Agent Telcom: Tak.
Klient: Ta sama cena za głos?
Agent Telcom: Tak, ta sama cena za głos.
Klient: Ale ta sama cena za dane?
Agent Telcom: Aby potwierdzić, ta sama cena danych wynosi 80 USD miesięcznie, taka sama dla VoIP.
Klient: Rozumiem, więc"
no,
no,"Klient: Mam pakiet głosowy, pakiet głosowy 12.7.Szukam pakietu 15,7.
Agent Telcom: Świetnie, dziękuję.A jaką cenę chciałbyś ubiegać się o pakiet 15,7?
Klient: Tak, przepraszam.Zapytam, a następnie oddzwonię, jeśli mam jakieś pytania.
Agent Telcom: Tak, cieszę się, że mogę pomóc Alberto, dziękuję za zadzwonienie do Telcom.Czy możesz nam powiedzieć trochę więcej o pakiecie 15.7?
Klient: Cóż, przepraszam, właściwie szukam 20,7."
no,
yes,"Klient: Cóż, od około tygodnia jestem odłączony od mojego modemu.Modemy kablowe są instalowane inaczej i wydaje się, że jeśli spróbuję się podłączyć, po prostu odłącza się.
Agent Telcom: Och, to niefortunne.Cóż, nie wiem, w jaki sposób zostałeś odłączony od połączenia, ale jestem pewien, że nie może być łatwy.
Klient: Nie rozumiem.Nie jestem odłączony.Otrzymuję tę usługę od około miesiąca i nie zostałem odłączony.
Agent Telcom: Cóż, chciałbym jak najszybciej odzyskać twoją usługę i chętnie pomogę"
no,"Klienta: Już zapytałem Telcom, co mogę zapłacić za aktualizację i jak dotąd nie otrzymałem żadnej wzmianki o protokole Voice Over Internet.
Agent Telcom: Przykro mi, że Michael, ale w branży jest kilka firm, które zapewniają głos szerokopasmową.Uważam, że jest to jedna z tych firm.
Klient: Cóż, nie martwię się o to.Mam telefon komórkowy i nie mam problemu z połączeniem głosowym.Wolałbym mieć fundusze na modernizację mojej usługi.Ale tak, mam telefon komórkowy, a połączenie głosowe jest całkiem dobre.Więc"
no,"Klient: Chciałbym zaktualizować mój głos i dane.
Agent Telcom: Jakie komponenty chcesz zaktualizować?
Klient: Usługa Maxxvo jest doskonała.Jestem z AT&T od 10 lat i nigdy nie miałem problemu.Byłem z Telcom od 3 lat, a usługa jest dobra.
Agent Telcom: Bardzo dziękuję za poinformowanie nas o swojej usługi.Czy mogę również zapytać, jakiego kanału używasz do swojego głosu i danych?
Klient: Korzystam z kanału AT&T 26. Chciałbym uaktualnić do Maxxvo"
no,"Klient: Chciałbym zaktualizować moje dane do 1 GB danych, które wynoszą 15 USD/miesiąc.Moje pozostałe dane to 3 GB.
Agent Telcom: Mogę ci w tym pomóc.Więc masz skonfigurowane plany danych?
Klient: Tak, mam moje dane „Plan 1”, który wynosi 30 USD/miesiąc, a mój „Plan 2”, który wynosi 40 USD/miesiąc.
Agent Telcom: Mogę ci w tym pomóc.Więc obecnie masz „Plan 1”, czy to plan, który możesz uaktualnić do „Plan 2”?
Klient: Nie, to „plan 2”, ale"
no,"Klient: Wszystkie trzy.
Agent Telcom: Dziękuję bardzo.Zanim będziemy mogli przejść do następnej aktualizacji, muszę zadać ci kilka pytań.Jaka jest twoja obecna umowa z Telcom?
Klient: Moja obecna umowa to 3 lata.
Agent Telcom: OK.A jakie jest twoje imię Telco?
Klient: United Telcom Services.
Agent Telcom: OK.Proszę, podaj mi szybkie podsumowanie swojej usługi.
Klient: Nasza usługa jest fantastyczna.Zaproponował mi nieograniczony Internet, identyfikatory, głos na IP i możliwość dzwonienia do moich pracowników, moich dzieci,"
no,"Klient: Chciałbym zaktualizować swój Internet do DSL i chciałbym przenieść się z 60 megabitów do 50 Mb / s.
Agent Telcom: Jasne, to zajmie około 6 godzin.Koszt jest następujący:
10 USD lub 20 USD miesięcznie przez 24 miesiące.
Agent Telcom: OK, dziękuję za telefon.Jestem Emily i to jest Telcom.Dzwonię ze sklepu detalicznego Telcom tutaj w Austin w Teksasie.Jeśli masz jakieś pytania, prosimy o oddzwonienie.Uaktualnienia usług są dostępne w momencie Twojego żądania, jednak nie możemy zagwarantować dostępności aktualizacji"
no,"Klient: Tak, chciałbym zaktualizować mój głos za pomocą moich danych o dużej prędkości.
Agent Telcom: Amanda, jesteś Telcom.Przed zadzwonieniem podaj mi swój bieżący numer.
Klient: OK, po prostu dam ci mój bieżący numer.
Agent Telcom: Dziękuję Amanda.Jak mogę Ci dzisiaj pomóc?
Klient: Byłem bardzo zadowolony z usługi, którą otrzymałem od Telcom i chciałbym zaktualizować moją umowę.
Agent Telcom: Cieszę się, że Amanda.Jaki komponent chciałbyś zaktualizować?Głos, tekst czy dane?
Klient: Tak,"
no,"Klient: wezmę głos.
Agent Telcom: Dziękuję za tę Margaret.Więc jaka jest nowa cena, którą chcesz zapłacić za tę usługę?
Klient: 44,95 USD.
Agent Telcom: Nie mogę cię tak zacytować, taka jest cena, którą zacytowali moi agenci.A może dasz mi dokładną cenę, którą chcesz zapłacić Margaret?
Klient: Nie chcę cytować cię ceny, chcę, żebyś mi powiedział dokładną cenę.
Agent Telcom: Tak, dobrze.Więc chcesz zapłacić 44,95 USD za głos i zaplanować nie.888 i $"
yes,"Klient: Cóż, to po prostu ciągła rzecz, którą myślę i po prostu nie poleciłbym tego.Wiem, że mogę uzyskać lepszą obsługę z telco czy coś w tym rodzaju, ale po prostu tak naprawdę nie poleciłbym tego.
Agent Telcom: Cóż, w porządku, rozumiem.Możesz teraz anulować usługę, a my po prostu wyłączymy Twój telefon.Aby sprawdzić, czy masz skonfigurowane połączenia telefoniczne, chciałbym zobaczyć bieżący numer, który zadzwoniłeś.
Klient: (podnosi telefon)
Agent Telcom: Och, w porządku.A ile razy tu zadzwoniłeś dzisiaj?
Klient: (ona"
no,"Klient: Zamierzam uaktualnić do portu danych, to wszystko.
Agent Telcom: ile to będzie?
Klient: W tej chwili koszt 30 -dniowy koszt 20,00 USD.
Agent Telcom: Czy chciałbyś, żebym był bardziej szczegółowy?
Klient: Chciałbym opcję rezygnacji.
Agent Telcom: Och, czy mogę po prostu powiedzieć, że możesz ulepszyć w dowolnym momencie, a jeśli go nie podpisze, jesteś za drzwiami?
Klient: Podjąłem już decyzję, modernizuję.
Agent Telcom: Czy chciałbyś, żebym ci dał"
no,"Klient: Chciałbym zaktualizować do Internetu i wyrazić protokół internetowy.
Agent Telcom: Świetnie!Więc chciałbyś usługę „cyfrową”.Czy możesz iść do najbliższego przedstawiciela Telco i powiedzieć im, czego chcesz?
Klient: Um, nie, byłem w przedstawicielu, ale myślę, że wrócę i zrobię to w inny sposób, ponieważ zapłaciłem już za wiele połączeń telefonicznych i internetowych.Naprawdę chciałbym zachować usługę głosową.
Agent Telcom: Z pewnością Leanne.Czy możesz się do mnie skontaktować, kiedy masz zamiar zmienić zdanie?
Klient"
no,"Klient: Uh, transmisja, zamierzam po prostu ulepszyć mój podstawowy.Nowa stawka wynosi 29,95 USD miesięcznie i mam zamiar ją podpisać.
Agent Telcom: Dziękuję za telefon Jennifer.W zależności od obecnych stawek zapłacisz 59,95 USD miesięcznie za subskrypcję.Daj mi znać, jeśli masz jakieś pytania.
Klient: Nie, nie, nie, nie, teraz podpiszę.
Agent Telcom: Dziękuję.A teraz muszę wziąć twój numer.I nazywam się Gary.Przepraszam, że to przyjmuje"
no,"Klient: Korzystam z usługi SIDECAR i chciałbym uaktualnić do głosu, tekstu i danych.
Agent Telcom: Dobra Joan.Dziękuję Ci.Chciałbym z tobą porozmawiać o twoich usługach.Jakie udogodnienia chcesz w swojej usługi?
Klient: Cóż, myślę, że musiałem mieć telefon od Telcom, powiedzieli mi, że mój telefon jest ważny, mój Internet jest ważny, a moja szybkość Internetu jest ważna.Myślę więc, że chciałbym zaktualizować moją usługę do głosu, tekstu i danych.
Agent Telcom: OK.Jakie są szczegóły?
Klient: Chciałbym zaktualizować"
no,"Klient: Nie chcę żadnej aktualizacji.Muszę tylko ulepszyć umowę.
Agent Telcom: OK.Jakie są twoje inne opcje?
Klient: Czy całkowicie nie mam szczęścia?
Agent Telcom: Nie, nie do końca, ale niestety nie jesteśmy w stanie zaoferować żadnych innych aktualizacji, tylko naszą normalną ofertę ...
Klient: OK.Czy jest jakiś sposób, aby dać mi wskazówki, jak to zrobić?
Agent Telcom: Nie mogę ci w tym pomóc, ponieważ nie znam twojego imienia.Ale mogę dać ci wskazówki, jak to zrobić.
Klient: Och,"
no,"Klient: Tak, tak naprawdę nie widzę nic do aktualizacji.Chcę tylko zachować swój obecny pakiet, aby uzyskać dane 1 GB za 10,00 $/miesiąc, aby móc wykonywać dane na moim iPhonie.
Agent Telcom: Och, to świetnie, Benjamin.Możesz zachować swój obecny pakiet.A teraz, jeśli chcesz, podaj mi trochę informacji.
Klient: Czy to roczna umowa czy umowa 24 -miesięczna?
Agent Telcom: Cóż, to 24 -miesięczny kontrakt.I będę potrzebować kilku dodatkowych szczegółów, zanim będę mógł uaktualnić.
Klient: Ty"
no,
no,"Klient: Tak, chciałbym zaktualizować mój plan głosowy i chciałbym również zaktualizować mój plan tekstowy.
Agent Telcom: George, przepraszam, że nie mam dziś dla ciebie aktualizacji głosu.Co chciałbyś ulepszyć?
Klient: Chciałbym po prostu zaktualizować mój numer telefonu, którego szukam.
Agent Telcom: George, nie mogę tego zrobić, ponieważ mam dzisiaj dostępną aktualizację głosu, jednak nadal otrzymasz aktualizację głosu w następnym miesiącu.Co chciałbyś ulepszyć?
Klient: Chciałbym uaktualnić do"
no,
no,"Klient: Chciałbym zaktualizować, a moim obecnym to głos i tekst.
Agent Telcom: Przepraszam, że nie jesteś zadowolony z obecnej usługi.Kliknij link na moim ekranie, który jest zatytułowany: Telcom Satysfaction Satishation Survey.W tej ankiecie oceń następujące w skali od 1-5, a 5 jest bardzo niezadowalające: Agent obsługi klienta: Czy masz jakieś inne skargi?
Klient: Nie, jestem dobry.
Agent Telcom: Czy masz jakieś pomysły na ulepszenia?
Klient: Miałem duże trudności z obsługą klienta"
no,
yes,"Klient: Cóż, martwiłem się, że mój Internet nie będzie dostępny w dniu, w którym chciałem anulować.
Agent Telcom: Więc chciałbym wiedzieć, nie jest to, dlaczego jesteś ze mnie niezadowolony, ale jeśli można było zrobić coś, aby tak się stało.
Klient: Cóż, mógłbym sprawić, by ktoś aktywował dla mnie Internet, ale nie sądzę, aby kiosk pozwolił mi rozłączyć Internet.
Agent Telcom: To właśnie robię, wrócę z aktywacją usług.Więc nie będziesz w stanie udostępnić swojego Internetu do jutra?
Klient: Powiedziano mi, że mogę"
no,"Klient: SMS!
Agent Telcom: Czy masz dostęp do kodu rabatowego do aktualizacji?
Klient: Brak dostępnych rabatów
Agent Telcom: Och, przepraszam.Kiedy to potrzebujesz?
Klient: Teraz!
Agent Telcom: Dziękuję bardzo Troy.Telcom dostarczy ci kod aktualizacji za kilka minut.
Agent Telcom: Czy masz jakieś inne pytania?
Klient: Nie, doceniam cię i dziękuję.
Agent Telcom: Dziękuję Troy.I czy mogę otrzymać twoje imię i numer telefonu.
Klient: Nazywam się Troy, mój numer telefonu to 2339"
no,"Klient: Mam tylko 2 telefony z Telcom z nieograniczonymi danymi.Obecnie nie mam nieograniczonego planu.Musiałem zaktualizować z telefonu 4G, który wynosił 30 USD/mc do mojego telefonu 6G za 50 USD/mc.Chcę uaktualnić do nieograniczonych danych.
Agent Telcom: OK.Myślę, że mogę ci w tym pomóc.Pozwól mi po prostu sprawdzić techniki.Potwierdzili, że Twój telefon jest bliski kwalifikowania się do bezpłatnego aktualizacji do nieograniczonych danych.Powiedzieli, że będzie to podatek od 12 USD/mc plus podatek.Biorąc to pod uwagę, jeśli był to pakiet danych mobilnych,"
no,"Klient: głos.
Agent Telcom: A jaki jest całkowity koszt Twojej obecnej umowy?
Klient: 59,90 USD plus podatki i opłaty.
Agent Telcom: Dziękuję bardzo za opinię.Czy mogę przenieść cię do naszego działu rozliczeniowego, aby omówić twoje aktualizację?
Klient: Jasne.
Agent Telcom: Dobrze.Czy możesz rozdać swój obecny rachunek i numer?
Klient: Tak.Chciałbym teraz.
Agent Telcom: Czy potrzebujesz nowego numeru telefonu?
Klient: Nie, nie przeszkadza mi ten, który mam.
Agent Telcom: widzę"
no,"Klient: Tekst, głos i wideo.
Agent Telcom: Tam, widzę, że wybrałeś dane, świetny wybór.Chciałbym cię przenieść, aby zacząć od aktualizacji.
Klient: OK, kiedy rozpocznie się moja aktualizacja?Wkrótce zadzwonię do ciebie, aby rozpocząć proces, ale to świetnie.
Agent Telcom: W porządku, więc mogę zacząć od uzyskania twojego imienia i numeru telefonu.
Klient: Um, Matt.
Agent Telcom: Dobrze słyszeć, że jesteś bardzo zadowolony z naszej usługi i tego, jak z Tobą pracujemy.Mogę zacząć od otrzymania twojego imienia i numeru telefonu.Coś jeszcze"
no,"Klient: Cóż, mój numer telefonu to 9951362462, a ja modernizuję do danych 200 i 200 GB.A co z Tty?
Agent Telcom: opcje Tty są oferowane za pośrednictwem Telcom.Niestety nie uprawniasz aktualizacji, chyba że obecnie używasz TTY.Czy sprawdziłeś lokalną książkę telefoniczną, aby sprawdzić, czy TTY jest dostępny dla Twojej okolicy?
Klient: Sprawdziłem listę TTY i nie jestem pewien, czy jest dla mnie dostępna.Sprawdziłem moją lokalną książkę telefoniczną i nie wygląda na to, że jest jedna w mojej okolicy.
Agent Telcom:"
no,"Klient: Jestem w trakcie aktualizacji umowy i chciałbym zaktualizować z głosu do tekstu.
Agent Telcom: Świetnie, bardzo za to dziękuję.Czy możesz dać mi znać, jaki jest twój obecny AT&T OffNet i Onnet?
Klient: Nie mam onNet ani OffNet.Verizon Offnet to FIOS i nadal jestem na Onnet.
Agent Telcom: Dziękuję bardzo za opinię.Czy możesz mi powiedzieć, jaką zmianę chciałbyś wprowadzić na swoją obecną umowę?
Klient: Muszę szybciej zaktualizować umowę"
no,"Klient: W przypadku głosu mój obecny plan wynosi 3,00 na minutę w dowolnym miejscu w Kanadzie, w Edmonton otrzymuję 3.05.Również w przypadku tekstu otrzymuję obecnie tekst 24.00 do wszystkiego w Kanadzie, w Edmonton dostaję 25,00.Poprosiłem również o przeniesienie moich danych do jednego z dwóch przewoźników.Próbowałem przenieść dane z Telusa do Bell, ale nie chcą przenosić danych, więc muszę spróbować przenieść je z Telusa do Bell.Próbowałem porozmawiać z obsługą klienta Bell, ale nie mają pojęcia, gdzie przenieść dane i utknąłem"
no,"Klient: Nie mogę się doczekać uzyskania danych.Używasz do oferowania nieograniczonej liczby danych, ale zostały to niedawno zmienione.Co byś polecił?
Agent Telcom: Cóż, będę musiał na chwilę odnieść Cię do naszej linii obsługi klienta.Życzę powodzenia w ulepszeniu.
Krótko po rozmowie ponownie otrzymałem telefon z obsługi klienta.Powiedział, że oddzwoni do mnie w następny poniedziałek i powiedziałem mu, że rozłączę się na tym telefonie.Nie rozłączam się na połączeniach z obsługą klienta.
Minęło kilka dni i dzwonię ponownie.Teren"
no,"Klient: głos, tekst lub dane.
Agent Telcom: Dziękuję John, czy masz jakieś pytania dotyczące aktualizacji?
Klient: Byłbym wdzięczny, gdybyś mógł przeprowadzić mnie przez ten proces.Twój system rozliczeniowy nie wydaje się mieć sposobu na wskazanie, które usługi są dostępne na których z trzech poziomów.Czy istnieje sposób, aby zgłosić poziomy danych, które chcę zaktualizować?
Agent Telcom: Nie mamy żadnych informacji na ten temat.Dziękuję za uwagę.A najlepsze miejsce do zapytania jest nasze call center, 919-733-8591.
Klient: To najlepsze miejsce"
no,"Klient: Chciałbym zaktualizować moją obecną subskrypcję telefonu do mobilnego Internetu i głosu 4G LTE.
Agent Telcom: Świetny pomysł, gdzie mogę znaleźć szczegóły cen?
Klient: Chciałbym twoją pomoc w zakresie szczegółowych informacji na temat oferowanych planów.
Agent Telcom: Świetnie, przyjrzę się najbardziej aktualnym planom oferowanym przez firmę.Daj mi znać, jeśli jest coś, w czym mogę pomóc w tym temacie.
Agent Telcom: Pokażę ci, co mogę z tym zrobić.Pozwól, że pokażę ci serię wykresów.Są to z ostatniej ankiety Telcom do"
no,"Klient: Chciałbym uaktualnić z głosu do tekstu tylko z ceną tekstową 50 USD/miesiąc przez 12 miesięcy, jeśli jesteś zgodny z co najmniej miesiąc na miesiąc.
Agent Telcom: Alright Alyce, z przyjemnością to zrobimy.Czy możesz zdobyć swój bieżący numer karty serwisowej Telcom?
Klient: Tak.
Agent Telcom: Świetnie.Czy masz jakieś aktualne umowy z Telcom?
Klient: Tak, ja.Mam umowę na ADSL z Telnet za 65,00 USD/miesiąc przez 5 lat.To wygasa"
no,"Klient: Proszę o aktualizację głosu.Chciałbym zaktualizować do najnowszego modelu.Obecny to moje obecne urządzenie.
Agent Telcom: Świetnie.Poprosię twój telefon, aby pokazał mi, jak jest on połączony, i możesz dać mi znać, czy jest problem.
Klient: Nie jestem pewien, czy to mój telefon czy coś innego.
Agent Telcom: OK, chciałbym tylko potwierdzić, że telefon działa dobrze po twoim końcu.Widzę, że przychodzi wiele osób i konfiguruje swoje konta.Czy chciałbyś, żebym dał ci rękę"
no,"Klient: Chciałbym uaktualnić do głosu.
Agent Telcom: Świetny, jaki masz numer na swoim koncie?
Klient: Jedno-dwa trzy pięć pięciu sześciu siedmiu lat dziewięć.
Agent Telcom: Przepraszam, że nie mam nagrania twojego numeru telefonu.Czy jest coś jeszcze, w czym mogę ci dzisiaj pomóc?
Klient: Cóż, zastanawiałem się, czy usługa, którą otrzymałem, działa dla Ciebie poprawnie, gdy nastąpiła ta aktualizacja?
Agent Telcom: Przepraszam, że tego nie rozumiałem.Co to znaczy mieć"
no,"Klient: głos.
Agent Telcom: Rozumiem, że jesteś w ulepszonej usługi w Telcom.A twoja usługa jest najnowsza dostępna i po prostu pomyślę o aktualizacjach, które już masz.Czy byłbyś gotów zachować swój obecny pakiet usług?
Klient: Oczywiście.Chcę zachować pakiet serwisowy, który mam teraz.
Agent Telcom: Dziękuję.I czy chciałbyś dziś zaplanować datę aktualizacji?
Klient: Jasne.A co z 9:00?
Agent Telcom: Świetnie.A co chciałbyś zrobić z ulepszeniami usług?"
no,
no,"Klient: Cóż, chciałbym zaktualizować mój telefon stacjonarny do linii szerokopasmowej.
Agent Telcom: Świetnie!Cóż, rozumiem, że dostępne są 3 opcje.
Klient: Jedną z opcji jest usunięcie telefonu stacjonarnego i nadal mogę mieć linię szerokopasmową, która nazywa się „telefonem inteligentnym domem”, który nazywa specjalny kod.A potem chciałbym zaktualizować mój telefon komórkowy do „deski surfingowej”, który jest małym tabletem.
Agent Telcom: Świetnie!Cóż, rozumiem, że dostępne są 2 opcje.A potem chciałbym ci powiedzieć, że Telcom zamierza"
no,"Klient: Szukam aktualizacji danych do mojego telefonu.
Agent Telcom: Więc będziemy dziś odbierać Twój telefon?
Klient: Tak, tak, absolutnie.
Agent Telcom: Świetnie!A kiedy musisz zwrócić telefon?
Klient: Muszę go zwrócić na koniec miesiąca, aby miał miejsce 8.A może będziesz gotów rozważyć jakąkolwiek inną datę, która dla Ciebie działa?
Agent Telcom: Dobrze, w porządku.Czy chciałbyś, żebym umówił się na spotkanie z twoim usługodawcą i możemy to zaplanować w tym czasie?
Klient"
no,
no,
no,"Klient: Mam smartfon 3,5 GHz i chciałbym zaktualizować do 4G LTE.
Agent Telcom: OK, wszystko dobrze.Więc co chciałbyś to zastąpić?
Klient: Chciałbym zachować smartfon i nadal otrzymywać tę samą usługę.
Agent Telcom: OK, pozwolimy mu przejść.Jak długo chciałbyś poczekać przed aktualizacją?
Klient: Powiedziałbym, że trzy miesiące chciałbym móc uaktualnić do 4G LTE.
Agent Telcom: w porządku, będziemy na to oko i jeśli nie będzie to na miejscu"
yes,"Klienta: Chodzi o to, że jestem sam od jakiegoś czasu, było świetnie, ale poznałem kilku cudownych ludzi, którzy są bardzo mili i chciałem z nimi porozmawiać przez Internet i chciałbym to zrobićże w pracy.
Agent Telcom: Więc chciałbyś zalogować się na mojej stronie internetowej i zobaczyć, jaką dobrą robotę wykonuję.Och, w porządku.Mam dla ciebie kilka opcji.
Klient: Jakie są opcje?
Agent Telcom: Przepraszam Angela, czy mogę mieć twoje imię?
Klient: Jestem tylko facetem o imieniu Nicky, abym mógł zadzwonić do Nicky.
Agent Telcom"
no,"Klient: Chciałbym zaktualizować usługę głosową do usługi danych.Obecnie mam plan telefoniczny 7 -liniowy z planem danych 3 MB/s.
Agent Telcom: Świetnie, więc czy było coś jeszcze, o czym potrzebowałeś?Czy jest jakiś kod rabatowy lub rabatowy, którego musisz użyć?
Klient: Nie, chciałem tylko wiedzieć, czy były jakieś rabaty.
Agent Telcom: Cieszę się, że to słyszę.Więc powiedz mi więcej o zmianach, które chciałbyś wprowadzić do planu serwisowego, który masz teraz.
Klient: Chciałbym zwiększyć mój plan sieci danych do 12 linii"
yes,"Klient: Mam kilka pytań, na które chciałbym, żebyś dla mnie odpowiedział.
Agent Telcom: Jasne Edward.Cieszę się, że mogę pomóc.Czy mogę zapytać, kto jest twoją instytucją finansową, jeśli ją masz?
Klient: Cóż, jestem studentem University of Michigan.
Agent Telcom: OK, skąd jesteś?
Klient: Jestem ze stanu Michigan.
Agent Telcom: Dobra, więc jesteś studentem U.?
Klient: Tak.Jestem studentem University of Michigan.
Agent Telcom: OK.Cóż, możesz uzyskać mój numer telefonu, dzwoniąc do mojego numeru komórki, a potem"
no,"Klient: Jestem bardzo zadowolony z Telcom i chciałbym zachować moją istniejącą usługę.Myślę jednak, że potrzebuję więcej minut telefonicznych i pisze.Czy możesz mi to odpowiedzieć?
Agent Telcom: Z pewnością Gary.Jestem Allison i jestem tutaj, aby ci pomóc.
Klient: Świetnie.Wrócę z tobą.Nic nie mogę sobie poradzić w życiu, ale szukam innej opcji.
Agent Telcom: Świetny, świetny.Zajmiemy się tym za Ciebie.Następną rzeczą, o której chciałbym z tobą porozmawiać, jest twój zewnętrzny dostawca usług.
Klient"
no,"Klient: Chciałbym wtedy ulepszyć mój głos.
Agent Telcom: OK.A co, jeśli powiem ci, że Telcom zrezygnuje z opłaty instalacyjnej w wysokości 20 USD i zaoferuje Ci 15 USD za każdą linię, którą zamówisz za dodatkowe 50 USD?
Klient: Z pewnością chciałbym to usłyszeć.
Agent Telcom: Cóż, to świetnie i czy mogę dostać Twój numer telefonu, abyś mógł umieścić go na fakturach?
Klient: Nie mam go.
Agent Telcom: OK Katie, jakie jest Twoje nazwisko?
Klient: Joe.
Agent Telcom: OK, Katie, jestem"
no,
no,"Klient: Hmmm nie jestem pewien.
Agent Telcom: OK.Czy możesz dać mi kilka minut na podjęcie tej decyzji?
Klient: OK.
Agent Telcom: Mogę zmienić pakiet danych.Mam wielu klientów danych.Mogę pobrać bezpłatne narzędzie o nazwie Skype Studio, aby usprawnić tworzenie i zarządzanie pakietem danych.
Klient: Dziękuję.Nie jestem więc pewien, jaki rodzaj pakietu danych chcę zaktualizować dzisiaj.
Agent Telcom: Tak, myślę, że o to się martwiłem.Więc dzisiaj zamierzasz zaktualizować?
Klient: Tak."
no,"Klient: Byłem bardzo zadowolony z usługi, którą otrzymałem od Telcom i chciałbym zaktualizować moją umowę.
Agent Telcom: Cieszę się, że Heather.I jak mogę ci dzisiaj pomóc?
Klient: Byłem bardzo zadowolony z usługi, którą otrzymałem od Telcom i chciałbym zaktualizować moją umowę.
Agent Telcom: Cieszę się, że Heather.Następnie powiedz mi nowy termin oraz nowe tygodnie i dni służby.
Klient: Byłem bardzo zadowolony z usługi, którą otrzymałem od Telcom i chciałbym zaktualizować moją umowę.
Agent Telcom:"
no,
