churn,chat_log,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
no,,VA,163,area_code_415,no,no,0,202.9,100,34.49,178.6,46,15.18,203.8,116,9.17,12.8,3,3.46,5
yes,"Klient: Po prostu nie podoba mi się sposób, w jaki Telcom prowadzi interesy, nie oddzwaniają do mnie, gdy się spieprzą.Nie robią nic dla klienta.Robią wszystkie rozmowy z klientami.Chcę tylko wrócić do Telcom.
Agent Telcom: To całkowicie zrozumiałe Dee.Rozumiemy to.Jak mogę ci w tym pomóc?
Klient: Cóż, będę musiał powiedzieć, że uważam, że Telcom sprzedaje mi bardzo zły produkt.Nie jestem bardzo szczęśliwy i nie planuję płacić tej firmie.Więc najlepszą rzeczą, jaką mogę zrobić, to po prostu anulować tę umowę, ponieważ to nie jest",NH,95,area_code_408,yes,no,0,228.9,134,38.91,255.7,71,21.73,208.0,120,9.36,10.1,2,2.73,4
yes,"Klient: Chcę tylko anulować umowę.
Agent Telcom: OK.Czy mogę pomóc Ci znaleźć numer telefonu?
Klient: Nie mogę znaleźć numeru telefonu, ponieważ nie mam numeru.Numer telefonu jest wymieniony jako agent Telcom.
Agent Telcom: OK, dobrze, masz numer.Czy mogę zapytać, o co do mnie dzisiaj wzywasz?
Klient: To właściwie za pośrednictwem Telcom.
Agent Telcom: Och, OK.Cóż, skontaktuję się z tobą z odpowiednim numerem.
Klient: Nie, poczekam.
Agent Telcom: OK.Kiedy czekasz, polecam zadzwonić",NC,58,area_code_510,no,no,0,112.2,95,19.07,209.6,108,17.82,260.9,78,11.74,13.9,1,3.75,0
no,"Klient: Chciałbym uaktualnić dane.
Agent Telcom: OK, czy nadal jesteś w tym samym planie, co dzisiaj, czy zmieniłeś plan?
Klient: Plan, w którym jestem, nazywa się Prime Plus.
Agent Telcom: OK, Cóż, chcesz przejść do planu Prime Plus w przyszłym miesiącu, czy chcesz pozostać z planem, który masz dzisiaj?
Klient: Chciałbym przejść do planu Prime Plus.
Agent Telcom: Świetnie, więc zmieniłeś już plan?
Klient: Nie, nie zrobiłem tego.
Agent Telcom: OK,",VA,75,area_code_415,no,no,0,224.7,116,38.2,192.0,79,16.32,212.2,98,9.55,11.3,11,3.05,3
yes,"Klient: Więc używam Telcom na moim iPhonie, ale obsługa klienta jest okropna.Wysyła im tylko kolejną wiadomość po tym, jak kazałem im oddzwonić.Minęło ponad miesiąc i wciąż od nich nie słyszałem.Więc kilka razy zadzwoniłem do Telcom, ale nigdy nie wydają się ze mną wracać.
Agent Telcom: Ach, dla przypomnienia, nie powiedziałem, że to nie działa.Po prostu to, przykro mi to słyszeć.Możemy spróbować go wyśledzić i osiedlić się z innym dostawcą.
Klient: OK, dzięki.Zadzwonię, kiedy muszę tylko anulować",WI,147,area_code_415,yes,no,0,225.2,111,38.28,184.9,98,15.72,143.2,146,6.44,9.9,1,2.67,0
no,,NY,39,area_code_408,no,no,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2
no,,HI,40,area_code_415,yes,yes,21,147.4,117,25.06,262.8,110,22.34,202.0,97,9.09,10.9,5,2.94,0
no,"Klient: Och, przepraszam, nie wiem dokładnie, co mam, ale po prostu mam telefon, którego używam dla mojej firmy.Mam również stacjonarne miejsce w domu i chciałbym zaktualizować telefon stacjonarny do telefonu komórkowego i chciałbym zaktualizować dom do telefonu komórkowego.
Agent Telcom: Co konkretnie chciałbyś zaktualizować?
Klient: Nie jestem pewien.Jestem po prostu ciekawy, co dałoby mi to najlepsze i najbardziej wartość?
Agent Telcom: Jasne, cieszę się, że zapytałeś.Rzućmy okiem na twoją linię kredytową.",ID,134,area_code_415,no,no,0,204.7,108,34.8,143.1,105,12.16,165.8,84,7.46,11.0,4,2.97,6
no,"Klient: Chciałbym uaktualnić z używania głosu do tekstu.
Agent Telcom: Cieszę się, że to słyszę, Cindy.Mogę zacząć od wywołania centrum kontroli woluminów.Czy możesz pozwolić mi to sprawdzić?
Agent Telcom: Network Voice Service jest dostępna za dodatkową opłatę w wysokości 0,99 USD/miesiąc i jest jedyną opcją dostępną do momentu anulowania istniejącego planu woluminu.Ruszanie planu woluminu jest wymagane do anulowania usługi głosowej po subskrybowaniu usługi.
Klient: Dzięki za pomoc.Przepraszam, że miałem małe problemy z twoim systemem.Kiedy zadzwoniłem, kazali mi sprawdzić kontrolę głośności",ME,39,area_code_408,no,no,0,154.1,104,26.2,204.2,112,17.36,196.2,92,8.83,9.8,4,2.65,2
no,"Klient: Jedyną rzeczą, którą chcę zaktualizować, jest poziom danych.Kiedy zadzwoniłem do Telcom i powiedzieli mi, że nie potrzebuję danych.Powiedzieli, że mogę wykorzystać oferowane obecnie dane.
Agent Telcom: Widzę, że skontaktowałeś się z naszym działem obsługi klienta i chcielibyśmy pomóc Ci w aktualizacji planu danych.Niedługo z Tobą skontaktujemy.Zalecamy aktualizację statusu planu online, aby upewnić się, że telefon będzie nadal dostępny do użytku.Możesz uzyskać dostęp do swojego planu tutaj: https://www.telcom.com/now/default.aspx?s=&var",MS,138,area_code_408,no,no,0,138.7,124,23.58,280.3,64,23.83,206.7,98,9.3,10.4,4,2.81,1
no,"Klient: Chciałbym zaktualizować mój głos.
Agent Telcom: pozwól mi sprawdzić mojego menedżera.
Telcom Manager: Przykro mi Lydia, ale właściwie musisz zaktualizować swoją usługę głosową, dzwoniąc do linii obsługi klienta Telcom pod numer 1-800-541-8586.To jest w głównym biurze Telcom.
Agent Telcom: Przykro mi powiedzieć, że Lydia jest to ciągły proces.Musisz zalogować się do systemu Telcom, aby zaktualizować swoją usługę.Będziesz musiał poczekać pięć dni, zanim będziesz mógł zadzwonić, aby uaktualnić.
Klient: Rozumiem.Dziękuję Ci.Proszę mi wybaczyć",SD,119,area_code_510,no,no,0,94.2,108,16.01,264.1,100,22.45,203.7,79,9.17,7.3,3,1.97,1
no,"Klient: Chciałbym głos i tekst.
Agent Telcom: OK.A kiedy możesz spodziewać się odpowiedzi?
Klient: Która jest teraz godzina?
Agent Telcom: Otrzymujemy teraz telefon, albo możesz oddzwonić za godzinę?
Klient: Chciałbym zadzwonić za godzinę.
Agent Telcom: OK.A co z czasem trzymania?
Klient: Och, 45 minut.
Agent Telcom: OK.Co powiesz na numer telefonu dla osoby kontaktowej?
Klient: Cóż, nie mam teraz numeru.mogę do ciebie zadzwonić",NJ,113,area_code_408,no,no,0,132.1,72,22.46,247.5,107,21.04,246.2,123,11.08,6.9,6,1.86,3
yes,"Klient: Jestem bardzo oszczędną osobą i postanowiłem jakiś czas temu, aby przestać korzystać z domu w Internecie, ponieważ pomyślałem, że użyję więcej na drodze.
Agent Telcom: Przykro mi, że postanowiłeś przestać korzystać z domowego Internetu, ale myślę, że możemy ci w tym pomóc.
Agent Telcom: OK.Rozumiem więc, że używasz routera bezprzewodowego.
Klient: Tak.
Agent Telcom: Czy możesz podłączyć nasz router bezprzewodowy i po prostu rozpocząć przesyłanie domowych filmów, muzyki z komputera na urządzenie bezprzewodowe, a następnie podłączyć je do routera?
Klient: Jasne.
Agent Telcom: a potem go połączę",PA,119,area_code_408,no,no,0,287.1,115,48.81,159.3,99,13.54,216.8,86,9.76,13.9,1,3.75,2
no,,GA,50,area_code_408,no,yes,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1
no,,ME,137,area_code_510,no,no,0,110.5,79,18.79,223.2,111,18.97,169.5,64,7.63,10.5,3,2.84,3
no,"Klient: Tak, patrzę na aktualizację do jednego z planów na stronie, która ma nieograniczony głos i tekst wraz z danymi.Badałem trochę i zauważyłem, że aby zabezpieczyć aktualizację, musiałbym przejść z jednego z planów na ofertę, która nie ma nieograniczonego głosu i tekstu.
Agent Telcom: OK, czy możesz podać mi swoje imię i nazwisko i adres e -mail, abym mógł wysłać ofertę aktualizacji?
Klient: Nie mam adresu e -mail.Mieszkam w Nowym Jorku, ale chciałbym to zrobić jak najszybciej.
Agent Telcom: ok, więc możesz proszę",VT,131,area_code_415,no,no,0,175.1,73,29.77,171.9,116,14.61,131.1,94,5.9,7.3,6,1.97,1
no,"Klient: Zastanawiam się nad aktualizacją z pakietu 18m, który kończy się dzisiaj do pakietu 40m.
Agent Telcom: To niesamowite!Do jakich innych pakietów chciałbyś teraz zaktualizować?
Klient: Myślę, że chciałbym przejrzeć całe spektrum, gdybym mógł.Planuję uaktualnić pakiet internetowy i telewizyjny w piątek.
Agent Telcom: Dobrze, jestem pewien, że pokochasz to!Kiedy tam jesteś, będziesz chciał poinformować ich, że chciałbyś zaktualizować później dzisiaj.
Klient: Wiem, że macie dużo konkurencji, ale chciałbym zostać",RI,104,area_code_408,yes,no,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4
no,"Klient: * chrząknięcie * Przepraszam, ale nie wiem, o czym mówisz.
Agent Telcom: O nie, w porządku.To po prostu z tobą rozmawia z telefonu.I to jest agent Telcom.Nikt inny nie może ci pomóc, prawda?
Klient: Um, nie wiem.
Agent Telcom: Cóż, dlatego tu jestem.
Klient: Och, przepraszam, przepraszam.
Agent Telcom: Co masz na myśli mówiąc, że nie wiesz?
Klient: Nie jestem ... Nie dostaję tego od Telcom.",NE,161,area_code_415,no,no,0,166.2,125,28.25,279.4,78,23.75,181.0,85,8.15,13.4,6,3.62,1
yes,"Klient: Cóż, dla jednego, otrzymaliśmy znacznie gorszą obsługę w ciągu ostatnich kilku miesięcy.Jestem wyjątkowo powolny, gorszy niż ton wybierania i trudno jest porozmawiać z osobą.Rozmawiam z nimi przez wiele godzin.Otrzymaliśmy znacznie lepsze rachunki, a rachunki są bardzo niskie w porównaniu do wcześniej.Ale po prostu nie chcę płacić więcej pieniędzy za powolną obsługę.
Agent Telcom: uh huh.Dobra wiadomość jest taka, że mamy porozumienie z Telcom, aby zwiększyć prędkość.Co powinno bardzo pomóc w przyszłości.
Klient: Tak, ale myślę, że obniżą prędkości.
Teren",AK,126,area_code_415,no,no,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5
no,"Klient: Tylko głos, abym mógł słuchać radia i porozmawiać z wnukami.Nie chcę żadnych danych.
Agent Telcom: W porządku Opcja danych jest ustawiona na 50,00 USD miesięcznie.Czy możesz to zapłacić lub po prostu głos?
Klient: Mogę zapłacić głos, ale nie chcę płacić za dane.
Agent Telcom: Cóż, rozumiem.Zdobądźmy wycenę z Telcom, a następnie pójdziemy stamtąd.Dziękuję Sandra.
Klient: Rozumiem.I wkrótce się z tobą skontaktuję.
Agent Telcom: Dziękuję.Posiadać",AZ,87,area_code_510,no,no,0,110.9,91,18.85,158.5,115,13.47,207.5,131,9.34,6.2,5,1.67,1
no,"Klient: Chciałbym zaktualizować dystrybucję głosu przez telefon i dostęp do telefonu.
Agent Telcom: A jaka konkretna aktualizacja chcesz zrobić?
Klient: Obecnie mój głos jest w porządku i chcę zaktualizować do 20 mbit/s przez telefon.
Agent Telcom: Tak, to jest standardowy znak aktualizacji.Czy chcesz zapłacić wzrost?
Klient: Tak, bardzo, to jeden z powodów, dla których modernizuję.
Agent Telcom: Dziękuję Alan i czy możesz zweryfikować swój adres i numer telefonu, abyśmy mogli rozpocząć proces aktualizacji?
Zwrot telefonu:",OK,149,area_code_510,yes,no,0,180.9,79,30.75,194.9,83,16.57,197.8,109,8.9,8.8,9,2.38,3
no,"Klient: Chciałbym zaktualizować moją usługę do PBX 998 i zapewnić dodatkowe funkcje.
Agent Telcom: To brzmi jak świetny pomysł.A ile to kosztuje?
Klient: około 60 USD miesięcznie.
Agent Telcom: I czy możesz mi powiedzieć, ile czasu zajmie skonfigurowanie PBX 998, a Twoja usługa zostanie zaktualizowana?
Klient: około 7 dni.
Agent Telcom: A ile telefonów chciałbyś mieć przy sobie podczas aktualizacji?
Klient: Mam ogólną kartę telefoniczną i chciałbym dodatkowy PBX 998",AL,151,area_code_408,no,yes,27,166.4,112,28.29,234.3,116,19.92,161.1,95,7.25,5.5,2,1.49,0
no,"Klient: Tak, chciałbym ulepszyć moją rozmowę wideo.Mogę wysłać klipy wideo przez Internet.
Agent Telcom: Jak to byłoby możliwe Catherine?
Agent Telcom: Jak chciałbyś, żebym wykonał tę aktualizację?
Klient: Cześć, nazywam się Nicholas.Rozmawiam z Telcom jako mój agent pierwszej linii.Czy mogę dostać imię twojego przełożonego przez telefon, aby móc z nią porozmawiać?
Agent Telcom: Tak, możesz.Ona jest panią Barngy.
Agent Telcom: Catherine, podążaj za mną.
Agent Telcom: Nicholas, Pani Barng",WA,184,area_code_408,no,no,0,151.7,93,25.79,178.5,77,15.17,229.1,111,10.31,13.1,8,3.54,2
no,,WI,87,area_code_415,no,no,0,238.0,97,40.46,164.5,97,13.98,282.5,132,12.71,10.6,6,2.86,2
no,"Klient: To świetne pytanie, dziękuję za pytanie.Chciałbym zaktualizować z głosu do danych.
Agent Telcom: Świetnie, świetnie!Do zobaczenia tam.
Klient: Witam!Znowu jest Nicholas.Byłem bardzo zadowolony z usługi, którą otrzymałem od Telcom i chciałbym zaktualizować moją umowę Telcom.
Agent Telcom: Cieszę się, że Nicholas.Jaki komponent chciałbyś zaktualizować?Głos, tekst czy dane?
Klient: To świetne pytanie, dziękuję za pytanie.Chciałbym zaktualizować z głosu do danych.
Agent Telcom: Świetnie, świetnie!",SD,87,area_code_415,no,yes,33,125.0,99,21.25,235.3,81,20.0,215.3,95,9.69,10.2,7,2.75,2
no,"Klient: Dostawam wiele połączeń od ludzi na moim rachunku kablowym i chciałbym móc zachować te liczby w celach identyfikacyjnych.
Agent Telcom: Świetnie.Upewnij się, że wszystko jest poprawne.Czy mogę dziś sprawdzić pieniądze, które masz na swoim koncie?
Klient: Tak, możesz?
Agent Telcom: Czy chcesz ulepszyć umowę jeden, dwa czy trzy?
Klient: Chciałbym dwa ulepszenia umowy.
Agent Telcom: To trochę trudne.Obawiam się, że będziesz musiał wybrać.Czy możesz sprawdzić obecny plan z najmniejszym planem danych?",OH,98,area_code_510,no,yes,29,111.1,105,18.89,217.9,101,18.52,248.1,108,11.16,6.6,3,1.78,2
no,"Klient: Szukam zmian w obecnym planie Verizon, który mam.
Agent Telcom: Zacznę technika od sprawdzania szczegółów posiadanego planu.Zrobię to później.Czy mogę znowu dostać twoje imię?
Klient: Cześć, to jest Veronica i nazywam się Veronica.Czy mogę zacząć od otrzymania twojego imienia i numeru telefonu?
Agent Telcom: Cześć Veronica.Pewnie.I jak mogę ci dzisiaj pomóc?
Zastępca agenta Telcom: Cieszę się, że Veronica.I jak mogę ci dzisiaj pomóc?
Agent Telcom: Cześć Veronica",OH,93,area_code_415,no,yes,42,152.3,90,25.89,267.5,102,22.74,266.9,130,12.01,11.3,5,3.05,7
no,,SD,20,area_code_415,no,yes,35,171.5,98,29.16,153.1,127,13.01,165.6,125,7.45,7.1,3,1.92,0
no,"Klient: do 2 megabajtów i chciałbym zachować mój numer (przepraszam za długi połączenie).
Agent Telcom: Już opisano, bardzo dziękuję.A co mogę dziś dla ciebie zrobić?
Klient: Chciałbym zaktualizować mój plan głosowy, aby porozmawiać i napisać do 4 MB miesięcznie.
Agent Telcom: Z pewnością rozumiem, że pan Robert, a mam na imię Jackson.Czy chciałbyś to zrobić, proszę?
Klient: Tak, chciałbym uaktualnić, aby rozmawiać i napisać do 4 MB miesięcznie.
Agent Telcom: Dziękuję.A co mogę dziś dla ciebie zrobić?
Klient",WI,84,area_code_510,no,yes,12,89.7,87,15.25,138.6,73,11.78,165.8,114,7.46,10.7,2,2.89,1
no,"Klient: Chciałbym uaktualnić do 4G.Od jakiegoś czasu miałem 4G, więc chciałbym to zdobyć
Agent Telcom: Tak, to zdecydowanie coś, co możemy przynieść.Możemy przenieść cię do planu 4G, a następnie możesz ulepszyć, jak chcesz.
Klient: Jeszcze raz dziękuję, proszę.Wkrótce skontaktuję się z tobą menedżerem.
Agent Telcom: Nie ma za co, będę w drodze.
Agent Telcom: Dziękujemy za skontaktowanie się z Telcom.Nazywam się Mike i mam nadzieję, że nadal będziesz cieszyć się doświadczeniem Telcom.",DE,171,area_code_510,no,yes,17,186.9,94,31.77,240.0,138,20.4,200.9,64,9.04,5.8,3,1.57,1
no,"Klient: Obecnie otrzymuję głos i SMS -a za 30,00 USD miesięcznie i chcę aktualizować dane za 30,00 USD miesięcznie, a ulepszenie prędkości, o które poprosiłem, było uwzględnienie 5 GB danych z moją nową umową.
Agent Telcom: OK.Czy chciałbyś dokonać tej jednorazowej zmiany, czy też chciałbyś przeprowadzić kontrolę domową i dokonać zmiany miesięcznej?
Klient: Tak, chcę przeprowadzić inspekcję domową, więc chciałbym dokonać aktualizacji w ciągu następnych 30 dni.
Agent Telcom: Bardzo dobrze.I",CT,33,area_code_510,no,no,0,182.5,65,31.03,232.1,96,19.73,149.2,82,6.71,7.5,2,2.03,2
no,"Klient: Moje oprogramowanie zostało zaktualizowane 3 razy i chciałbym uaktualnić do głosu i tekstu.
Agent Telcom: Jak mogę Ci dzisiaj pomóc?
Klient: Otrzymałem prośbę o aktualizację od mojej lokalnej osoby Telcom i chciałem uzyskać wycenę i powiedziano mi, że zadzwoni do mnie, aby do mnie wrócić.
Agent Telcom: Cieszę się, że Bradley.Czy możesz mi trochę opowiedzieć o oprogramowaniu, które masz na koncie?
Klient: To przedsiębiorstwo Taurus.Telcom początkowo oferuje tylko usługę internetową i musiałem uaktualnić do czterech planów, który był jednak dostępny tylko w tym czasie",AL,85,area_code_408,no,no,0,127.9,107,21.74,271.2,124,23.05,202.2,76,9.1,12.5,5,3.38,0
yes,"Klient: Więc byłem bardzo niezadowolony z tej usługi i chciałbym anulować umowę.
Agent Telcom: Och, przykro mi, że usłyszeć tego Rogera.Czy mogę zapytać, co jest nie tak?
Klient: Więc byłem bardzo niezadowolony z tej usługi i chciałbym anulować umowę.
Agent Telcom: Och, przykro mi, że usłyszeć tego Rogera.Czy mogę zapytać, co jest nie tak?
Klient: Więc byłem bardzo niezadowolony z tej usługi i chciałbym anulować umowę.
Agent Telcom: Więc miałeś problem z usługą lub z przewoźnikiem?
Klient: Nie, byłem bardzo niezadowolony z tej usługi.Chciałbym więc anulować umowę.",NJ,128,area_code_415,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1
no,"Klient: Cóż, tak naprawdę nie mam wyboru, ponieważ mam bardzo duże konto.Mam miesięczny plan danych 2 GB i chcę dodać więcej danych, ale to ponad 2 tygodnie na raz.Chciałbym zaktualizować ten plan danych do planu miesięcznego 4 GB.
Agent Telcom: Cieszę się, że William.Czy mogę teraz zaktualizować ten plan danych?
Klient: Cóż po pewnym czasie, a Twoja usługa jest bardzo niezawodna i wygodna, powiedziałbym tak.
Agent Telcom: Więc to będzie twój nowy miesięczny plan?
Klient: Tak, to byłoby",IA,76,area_code_510,no,no,0,198.3,130,33.71,217.1,86,18.45,188.4,96,8.48,12.5,3,3.38,0
no,,NV,78,area_code_408,no,no,0,75.0,116,12.75,248.7,87,21.14,176.0,83,7.92,9.5,6,2.57,3
no,"Klient: i właśnie zauważyłem, że nie mogę zmienić numeru telefonu.Nie możesz zmienić swojego numeru telefonu?
Agent Telcom: Rozumiem to.Kiedy zarejestrujesz się z Telcom, na co się zgadzasz, to to, że nie masz żadnych danych danych ani planów głosowych.
Klient: Jak Telcom to radzi sobie?
Agent Telcom: Cóż, będziesz musiał uzyskać nowy numer telefonu.
Klient: Jak mam mieć nowy numer telefonu?
Agent Telcom: Cóż, aby zmienić swój numer, musisz skontaktować się z Telcom, a oni ci pomogą",NV,95,area_code_415,no,yes,35,238.3,86,40.51,258.1,132,21.94,194.9,72,8.77,13.1,4,3.54,5
no,,MN,84,area_code_415,no,no,0,216.1,114,36.74,197.5,107,16.79,217.8,104,9.8,9.8,3,2.65,1
no,"Klient: Wolałbym, gdybyś zaktualizował usługę głosową.
Agent Telcom: OK, do czego chciałeś zaktualizować?
Klient: To usługa o nazwie Telcom.Czy mogę po prostu powiedzieć, że Telcom to świetna firma, z której jestem zadowolony?
Agent Telcom: Tak, rozumiem to.Chciałbym również poinformować, że Semrush są świetnymi przedstawicielami handlowymi.Możesz z nimi porozmawiać przez telefon, a kiedy pojawi się pytanie, zagwarantują najlepszą cenę.Jaka jest twoja umowa z Semrush?
Klient: Mam umowę z Semrush.To było na bieżąco",KY,64,area_code_415,yes,no,0,146.7,83,24.94,148.3,91,12.61,238.6,69,10.74,12.5,3,3.38,3
no,"Klient: zamierzam zaktualizować Internet, a potem zamierzam zaktualizować mój telefon.Więc będę musiał zaktualizować telefon.
Agent Telcom: OK.Jak mam złożyć swoją prośbę?
Klient: Możesz skontaktować się ze mną pod numerem 4155325347 i pozwolić mi wypełnić formularz swoim imieniem i numerem telefonu.
Agent Telcom: Dziękuję Summer.Czy możesz podać mi szczegóły swojej obecnej umowy?A do jakiej prędkości chciałbyś zaktualizować?
Klient: Zamierzam uaktualnić do 100/8, ponieważ jest to najszybciej, jaki mogę uzyskać.I chciałbym",GA,117,area_code_510,no,no,0,149.9,95,25.48,256.1,110,21.77,212.7,92,9.57,13.3,13,3.59,2
no,"Klient: Oczywiście, proszę.
Agent Telcom: Szybkie to wielkie nie, to byłoby radiospak.Myślę, że możesz uaktualnić do radiospaków.Wspomnienie o rachunku Radiospek zostanie wysłany do ciebie po uaktualnieniu.Za to zamierzam naliczyć cię za koszt tej usługi z góry.Nie poświęcam czasu na negocjowanie kosztów tej usługi z góry, ponieważ gdy tylko za nią zapłacicie, zatrzymuję 5 funtów jako prowizja i nie zwracam tego.
Klient: W porządku.Dziękuję Ci.
Agent Telcom: Świetnie.Dziękuję Mai.Więc",TN,123,area_code_415,no,yes,34,305.2,80,51.88,156.5,109,13.3,280.0,81,12.6,13.2,7,3.56,1
no,,WA,134,area_code_408,no,no,0,208.3,86,35.41,253.6,89,21.56,291.0,86,13.1,12.6,3,3.4,1
no,"Klient: głos, tekst i dane.
Agent Telcom: Dziękujemy za udostępnienie nam opinii.Czy masz jakieś pytania na ten temat?
Klient: Nie, po prostu chcę zostać zaktualizowany.
Agent Telcom: Jak powiedziałem, chętnie pomożemy wszystkim naszym klientom, zapewniając im najlepsze dostępne stawki.Nazywam się Terri i czy możesz mi powiedzieć, jakie są twoje opcje aktualizacji?
Klient: Um, usługa 56K, a następnie 3 GB.
Agent Telcom: Dziękujemy za udostępnienie nam opinii.Czy masz jakieś pytania na ten temat?",NH,115,area_code_510,no,no,0,109.7,148,18.65,223.8,87,19.02,240.3,96,10.81,15.4,8,4.16,3
no,"Klient: Chciałbym zaktualizować z danych do głosu.
Agent Telcom: Rozumiem.Cóż, poprosię naszego technika o obejrzenie umowy i sprawdzenie, czy możliwe byłoby uaktualnienie usługi z głosu do danych.
Klient: Świetnie.W porządku. Dziękuję.Nazywam się Jeffrey.Czy wiesz, ile czasu zajmie dostęp do aktualizacji?
Agent Telcom: Tak Jeffrey.Jak długo to zajmie?
Klient: Przepraszam, że nie mogę dać ci określonego czasu.
Agent Telcom: W porządku.Byłbyś w stanie",WV,86,area_code_415,no,no,0,136.4,104,23.19,202.5,110,17.21,230.7,86,10.38,11.5,1,3.11,3
no,"Klient: Nie jestem pewien, jak to się nazywa, jaka byłaby pierwsza rzecz, którą bym uaktualniał.
Agent Telcom: Postaram się go zdobyć, a jeśli masz jakieś pytania, możesz do mnie zadzwonić w dowolnym momencie.
Klient: OK, dzięki, Jeffrey.Do widzenia.Gotowy do wyjścia?
Klient: To dobrze.Więc dajesz mi moje ulepszenie, prawda?
Agent Telcom: tak.
Klient: Okej, więc zamierzamy porozmawiać o mojej paczce, co to jest i jaka jest cena, a potem powiesz mi, jak mi powie",OH,165,area_code_510,no,no,0,209.4,67,35.6,273.8,89,23.27,150.2,88,6.76,12.8,1,3.46,0
no,,NH,90,area_code_408,no,no,0,192.1,80,32.66,269.3,125,22.89,259.6,97,11.68,11.7,4,3.16,2
no,"Klient: OK, chciałbym uaktualnić do planu danych.
Agent Telcom: To świetnie, co chcesz za to zapłacić?
Klient: Chciałbym zapłacić za dane za dodatkowe 600 MB miesięcznie.
Agent Telcom: OK, to świetna, to świetna cena za to i mamy to za Ciebie wkrótce.
Klient: Ok, dziękuję.
Agent Telcom: świetna robota Ginny.Jak znowu masz na imię i Twój numer telefonu?
Klient: Ginny.
Agent Telcom: Tak Ginny, miło cię poznać.Możemy teraz zacząć mówić o aktualizacji",NY,60,area_code_510,no,yes,31,191.8,75,32.61,267.8,135,22.76,200.5,62,9.02,12.8,3,3.46,2
no,"Klient: Chciałbym uaktualnić do danych o wartości 60 USD za miesiąc plus dane.
Agent Telcom: Bardzo dobrze.Dziękuję za poświęcony czas i biznes.To było dla mnie niezwykle pomocne, pracując z tobą dzisiaj i czekamy na obsługę Cię w najbliższej przyszłości.",CA,87,area_code_415,no,yes,19,165.8,122,28.19,186.9,89,15.89,249.7,78,11.24,0.0,0,0.0,1
no,"Klient: Chciałbym zaktualizować mój głos, tekst i dane.
Agent Telcom: Dziękuję Byron.Więc jeśli chcesz zaktualizować swój tekst, musisz podpisać umowę aktualizacyjną i zapłacić opłatę za aktualizację 40 USD.Jeśli aktualizujesz głos, musisz podpisać umowę aktualizacyjną i zapłacić opłatę za aktualizację 40 USD.Jeśli aktualizujesz dane, musisz podpisać umowę aktualizacyjną i zapłacić opłatę za aktualizację 40 USD.To jest struktura cenowa naszego głosu i planów danych.
Agent Telcom: Dziękuję.Więc jeśli chcesz zaktualizować swój głos, tekst i dane,",VT,93,area_code_408,no,no,0,149.6,120,25.43,200.7,85,17.06,181.2,107,8.15,14.3,9,3.86,0
yes,,TX,37,area_code_510,yes,no,0,172.9,119,29.39,183.0,86,15.56,226.4,100,10.19,9.8,1,2.65,0
no,"Klient: Cóż, zauważyłem spadek jakości połączeń głosowych, które otrzymuję i myślałem, że może chciałbym dodatkową przepustowość głosu i/lub tekst, aby kontynuować połączenie danych.
Agent Telcom: Czy możesz mi powiedzieć więcej o tym?
Klient: Cóż, kiedy wykonuję szybką wybór z ekranu głównego, telefon nie łączy się z siecią i otrzymuję wszelkiego rodzaju komunikaty o błędach.
Agent Telcom: Co masz na myśli mówiąc, że robisz szybką tarczę z ekranu głównego?
Klient: Tak, nie pracuję dialer i kiedy próbuję znaleźć",VA,86,area_code_415,no,yes,30,99.9,84,16.98,263.5,125,22.4,254.7,90,11.46,9.8,7,2.65,2
yes,"Klient: Więc pod koniec dnia chcę tylko odejść i nie słyszałem od nich od miesięcy.
Agent Telcom: Och, dobrze.Czy możesz dać mi znać, na czym polega problem?
Klient: Byłem zajęty rodziną i nie miałem ostatnio okazji zrobić nic z modemem.Nie chcę płacić za usługę, której nie mogą naprawić.Walczę z nimi od miesiąca i jestem pewien, że mówię w imieniu innych ludzi, kiedy mówię, że zasługujemy na coś lepszego.
Agent Telcom: Przykro mi, że słyszę tę esperanza.Czy mogę cię zapytać, czy wysłałeś list skargi do",OK,82,area_code_510,no,no,0,329.8,73,56.07,208.3,120,17.71,267.1,102,12.02,10.6,6,2.86,0
yes,,ND,122,area_code_408,no,no,0,231.2,141,39.3,267.8,136,22.76,240.3,100,10.81,8.8,5,2.38,1
